Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,126,0.02889227867126465
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,133,0.023847341537475586
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,162,0.019032716751098633
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,134,0.018999099731445312
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,157,0.0198514461517334
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,132,0.018453598022460938
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,114,0.018630027770996094
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,124,0.018759489059448242
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,117,0.018836021423339844
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,127,0.018265962600708008
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,140,0.018293380737304688
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,142,0.018856048583984375
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,137,0.03756093978881836
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,150,0.03258347511291504
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,145,0.02835869789123535
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,127,0.018512487411499023
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,172,0.020160913467407227
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,122,0.019044876098632812
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,132,0.019244909286499023
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,132,0.01911783218383789
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,179,0.020360231399536133
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,115,0.017621755599975586
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,177,0.02011895179748535
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,162,0.018461942672729492
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,135,0.018837451934814453
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,139,0.01849055290222168
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,121,0.018401145935058594
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,153,0.019181013107299805
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,139,0.01845264434814453
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,122,0.018691062927246094
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,134,0.01837611198425293
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,154,0.01854538917541504
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,99,0.018648147583007812
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,126,0.01839923858642578
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,150,0.020195484161376953
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,252,0.022523880004882812
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,133,0.019191503524780273
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,138,0.01867365837097168
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,149,0.019339799880981445
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,139,0.018914461135864258
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,119,0.019069433212280273
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,146,0.018593311309814453
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,119,0.018655061721801758
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,157,0.018601179122924805
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,137,0.017818212509155273
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,146,0.017647504806518555
46,random graphs/matuszewski/5_by_n/n10/graph46.lgbin,135,0.01867532730102539
47,random graphs/matuszewski/5_by_n/n10/graph47.lgbin,149,0.020139455795288086
48,random graphs/matuszewski/5_by_n/n10/graph48.lgbin,119,0.018337249755859375
49,random graphs/matuszewski/5_by_n/n10/graph49.lgbin,133,0.019156932830810547
50,random graphs/matuszewski/5_by_n/n10/graph50.lgbin,111,0.019312620162963867
51,random graphs/matuszewski/5_by_n/n10/graph51.lgbin,114,0.01775217056274414
52,random graphs/matuszewski/5_by_n/n10/graph52.lgbin,142,0.018415212631225586
53,random graphs/matuszewski/5_by_n/n10/graph53.lgbin,146,0.018970012664794922
54,random graphs/matuszewski/5_by_n/n10/graph54.lgbin,162,0.019264936447143555
55,random graphs/matuszewski/5_by_n/n10/graph55.lgbin,154,0.018458127975463867
56,random graphs/matuszewski/5_by_n/n10/graph56.lgbin,147,0.01755499839782715
57,random graphs/matuszewski/5_by_n/n10/graph57.lgbin,134,0.018196582794189453
58,random graphs/matuszewski/5_by_n/n10/graph58.lgbin,160,0.01827716827392578
59,random graphs/matuszewski/5_by_n/n10/graph59.lgbin,123,0.01814579963684082
60,random graphs/matuszewski/5_by_n/n10/graph60.lgbin,137,0.01831793785095215
61,random graphs/matuszewski/5_by_n/n10/graph61.lgbin,147,0.017919063568115234
62,random graphs/matuszewski/5_by_n/n10/graph62.lgbin,121,0.018087148666381836
63,random graphs/matuszewski/5_by_n/n10/graph63.lgbin,137,0.017764806747436523
64,random graphs/matuszewski/5_by_n/n10/graph64.lgbin,133,0.018639564514160156
65,random graphs/matuszewski/5_by_n/n10/graph65.lgbin,101,0.017535686492919922
66,random graphs/matuszewski/5_by_n/n10/graph66.lgbin,133,0.01773691177368164
67,random graphs/matuszewski/5_by_n/n10/graph67.lgbin,162,0.018332958221435547
68,random graphs/matuszewski/5_by_n/n10/graph68.lgbin,138,0.0181119441986084
69,random graphs/matuszewski/5_by_n/n10/graph69.lgbin,132,0.019181251525878906
70,random graphs/matuszewski/5_by_n/n10/graph70.lgbin,139,0.018393516540527344
71,random graphs/matuszewski/5_by_n/n10/graph71.lgbin,110,0.018220901489257812
72,random graphs/matuszewski/5_by_n/n10/graph72.lgbin,140,0.017858266830444336
73,random graphs/matuszewski/5_by_n/n10/graph73.lgbin,125,0.01857590675354004
74,random graphs/matuszewski/5_by_n/n10/graph74.lgbin,142,0.01915740966796875
75,random graphs/matuszewski/5_by_n/n10/graph75.lgbin,138,0.01932239532470703
76,random graphs/matuszewski/5_by_n/n10/graph76.lgbin,156,0.0195465087890625
77,random graphs/matuszewski/5_by_n/n10/graph77.lgbin,153,0.018828392028808594
78,random graphs/matuszewski/5_by_n/n10/graph78.lgbin,130,0.017371416091918945
79,random graphs/matuszewski/5_by_n/n10/graph79.lgbin,136,0.018706083297729492
80,random graphs/matuszewski/5_by_n/n10/graph80.lgbin,147,0.019203662872314453
81,random graphs/matuszewski/5_by_n/n10/graph81.lgbin,149,0.01825428009033203
82,random graphs/matuszewski/5_by_n/n10/graph82.lgbin,118,0.017757892608642578
83,random graphs/matuszewski/5_by_n/n10/graph83.lgbin,157,0.01800251007080078
84,random graphs/matuszewski/5_by_n/n10/graph84.lgbin,167,0.017832517623901367
85,random graphs/matuszewski/5_by_n/n10/graph85.lgbin,185,0.01937270164489746
86,random graphs/matuszewski/5_by_n/n10/graph86.lgbin,124,0.017745018005371094
87,random graphs/matuszewski/5_by_n/n10/graph87.lgbin,133,0.01800370216369629
88,random graphs/matuszewski/5_by_n/n10/graph88.lgbin,113,0.01800060272216797
89,random graphs/matuszewski/5_by_n/n10/graph89.lgbin,132,0.018060684204101562
90,random graphs/matuszewski/5_by_n/n10/graph90.lgbin,143,0.018198013305664062
91,random graphs/matuszewski/5_by_n/n10/graph91.lgbin,117,0.017366647720336914
92,random graphs/matuszewski/5_by_n/n10/graph92.lgbin,155,0.01841259002685547
93,random graphs/matuszewski/5_by_n/n10/graph93.lgbin,130,0.018015146255493164
94,random graphs/matuszewski/5_by_n/n10/graph94.lgbin,116,0.018201589584350586
95,random graphs/matuszewski/5_by_n/n10/graph95.lgbin,98,0.017554521560668945
96,random graphs/matuszewski/5_by_n/n10/graph96.lgbin,120,0.018146753311157227
97,random graphs/matuszewski/5_by_n/n10/graph97.lgbin,154,0.021678686141967773
98,random graphs/matuszewski/5_by_n/n10/graph98.lgbin,127,0.018387317657470703
99,random graphs/matuszewski/5_by_n/n10/graph99.lgbin,139,0.01905989646911621
100,random graphs/matuszewski/5_by_n/n20/graph0.lgbin,646,0.07621622085571289
101,random graphs/matuszewski/5_by_n/n20/graph1.lgbin,577,0.07449460029602051
102,random graphs/matuszewski/5_by_n/n20/graph2.lgbin,655,0.07401394844055176
103,random graphs/matuszewski/5_by_n/n20/graph3.lgbin,585,0.07529091835021973
104,random graphs/matuszewski/5_by_n/n20/graph4.lgbin,568,0.0736856460571289
105,random graphs/matuszewski/5_by_n/n20/graph5.lgbin,561,0.07241487503051758
106,random graphs/matuszewski/5_by_n/n20/graph6.lgbin,591,0.07214212417602539
107,random graphs/matuszewski/5_by_n/n20/graph7.lgbin,668,0.07401371002197266
108,random graphs/matuszewski/5_by_n/n20/graph8.lgbin,510,0.07216763496398926
109,random graphs/matuszewski/5_by_n/n20/graph9.lgbin,676,0.07627391815185547
110,random graphs/matuszewski/5_by_n/n20/graph10.lgbin,595,0.07469797134399414
111,random graphs/matuszewski/5_by_n/n20/graph11.lgbin,718,0.07930994033813477
112,random graphs/matuszewski/5_by_n/n20/graph12.lgbin,701,0.07755470275878906
113,random graphs/matuszewski/5_by_n/n20/graph13.lgbin,641,0.07814741134643555
114,random graphs/matuszewski/5_by_n/n20/graph14.lgbin,647,0.07484984397888184
115,random graphs/matuszewski/5_by_n/n20/graph15.lgbin,606,0.07796454429626465
116,random graphs/matuszewski/5_by_n/n20/graph16.lgbin,580,0.0760197639465332
117,random graphs/matuszewski/5_by_n/n20/graph17.lgbin,610,0.0769500732421875
118,random graphs/matuszewski/5_by_n/n20/graph18.lgbin,618,0.07364034652709961
119,random graphs/matuszewski/5_by_n/n20/graph19.lgbin,511,0.0715022087097168
120,random graphs/matuszewski/5_by_n/n20/graph20.lgbin,641,0.07535076141357422
121,random graphs/matuszewski/5_by_n/n20/graph21.lgbin,606,0.07183027267456055
122,random graphs/matuszewski/5_by_n/n20/graph22.lgbin,645,0.07779741287231445
123,random graphs/matuszewski/5_by_n/n20/graph23.lgbin,630,0.07975292205810547
124,random graphs/matuszewski/5_by_n/n20/graph24.lgbin,571,0.07314372062683105
125,random graphs/matuszewski/5_by_n/n20/graph25.lgbin,586,0.07321500778198242
126,random graphs/matuszewski/5_by_n/n20/graph26.lgbin,515,0.07172203063964844
127,random graphs/matuszewski/5_by_n/n20/graph27.lgbin,545,0.07269954681396484
128,random graphs/matuszewski/5_by_n/n20/graph28.lgbin,602,0.0735635757446289
129,random graphs/matuszewski/5_by_n/n20/graph29.lgbin,567,0.07120561599731445
130,random graphs/matuszewski/5_by_n/n20/graph30.lgbin,574,0.07401871681213379
131,random graphs/matuszewski/5_by_n/n20/graph31.lgbin,634,0.07425403594970703
132,random graphs/matuszewski/5_by_n/n20/graph32.lgbin,580,0.07320213317871094
133,random graphs/matuszewski/5_by_n/n20/graph33.lgbin,625,0.07120656967163086
134,random graphs/matuszewski/5_by_n/n20/graph34.lgbin,458,0.07038331031799316
135,random graphs/matuszewski/5_by_n/n20/graph35.lgbin,519,0.06931352615356445
136,random graphs/matuszewski/5_by_n/n20/graph36.lgbin,562,0.07203006744384766
137,random graphs/matuszewski/5_by_n/n20/graph37.lgbin,605,0.07486963272094727
138,random graphs/matuszewski/5_by_n/n20/graph38.lgbin,608,0.0754542350769043
139,random graphs/matuszewski/5_by_n/n20/graph39.lgbin,588,0.07238316535949707
140,random graphs/matuszewski/5_by_n/n20/graph40.lgbin,573,0.0718851089477539
141,random graphs/matuszewski/5_by_n/n20/graph41.lgbin,535,0.07221674919128418
142,random graphs/matuszewski/5_by_n/n20/graph42.lgbin,654,0.07384777069091797
143,random graphs/matuszewski/5_by_n/n20/graph43.lgbin,602,0.07273650169372559
144,random graphs/matuszewski/5_by_n/n20/graph44.lgbin,633,0.07418346405029297
145,random graphs/matuszewski/5_by_n/n20/graph45.lgbin,574,0.07212066650390625
146,random graphs/matuszewski/5_by_n/n20/graph46.lgbin,523,0.07213592529296875
147,random graphs/matuszewski/5_by_n/n20/graph47.lgbin,672,0.07664132118225098
148,random graphs/matuszewski/5_by_n/n20/graph48.lgbin,594,0.07172918319702148
149,random graphs/matuszewski/5_by_n/n20/graph49.lgbin,591,0.07166123390197754
150,random graphs/matuszewski/5_by_n/n20/graph50.lgbin,655,0.07331109046936035
151,random graphs/matuszewski/5_by_n/n20/graph51.lgbin,575,0.06955432891845703
152,random graphs/matuszewski/5_by_n/n20/graph52.lgbin,613,0.07069277763366699
153,random graphs/matuszewski/5_by_n/n20/graph53.lgbin,620,0.07504940032958984
154,random graphs/matuszewski/5_by_n/n20/graph54.lgbin,729,0.07544922828674316
155,random graphs/matuszewski/5_by_n/n20/graph55.lgbin,586,0.07256627082824707
156,random graphs/matuszewski/5_by_n/n20/graph56.lgbin,684,0.07482242584228516
157,random graphs/matuszewski/5_by_n/n20/graph57.lgbin,452,0.07051420211791992
158,random graphs/matuszewski/5_by_n/n20/graph58.lgbin,554,0.07105684280395508
159,random graphs/matuszewski/5_by_n/n20/graph59.lgbin,753,0.07671022415161133
160,random graphs/matuszewski/5_by_n/n20/graph60.lgbin,574,0.07731842994689941
161,random graphs/matuszewski/5_by_n/n20/graph61.lgbin,609,0.07424259185791016
162,random graphs/matuszewski/5_by_n/n20/graph62.lgbin,610,0.0731809139251709
163,random graphs/matuszewski/5_by_n/n20/graph63.lgbin,530,0.07006573677062988
164,random graphs/matuszewski/5_by_n/n20/graph64.lgbin,724,0.07829999923706055
165,random graphs/matuszewski/5_by_n/n20/graph65.lgbin,643,0.07164955139160156
166,random graphs/matuszewski/5_by_n/n20/graph66.lgbin,583,0.07082533836364746
167,random graphs/matuszewski/5_by_n/n20/graph67.lgbin,734,0.07363629341125488
168,random graphs/matuszewski/5_by_n/n20/graph68.lgbin,555,0.07311034202575684
169,random graphs/matuszewski/5_by_n/n20/graph69.lgbin,625,0.07624554634094238
170,random graphs/matuszewski/5_by_n/n20/graph70.lgbin,570,0.07603001594543457
171,random graphs/matuszewski/5_by_n/n20/graph71.lgbin,560,0.07265210151672363
172,random graphs/matuszewski/5_by_n/n20/graph72.lgbin,624,0.07420730590820312
173,random graphs/matuszewski/5_by_n/n20/graph73.lgbin,570,0.07264137268066406
174,random graphs/matuszewski/5_by_n/n20/graph74.lgbin,623,0.0757145881652832
175,random graphs/matuszewski/5_by_n/n20/graph75.lgbin,632,0.07326102256774902
176,random graphs/matuszewski/5_by_n/n20/graph76.lgbin,655,0.0736076831817627
177,random graphs/matuszewski/5_by_n/n20/graph77.lgbin,565,0.07342219352722168
178,random graphs/matuszewski/5_by_n/n20/graph78.lgbin,571,0.07027506828308105
179,random graphs/matuszewski/5_by_n/n20/graph79.lgbin,674,0.07081460952758789
180,random graphs/matuszewski/5_by_n/n20/graph80.lgbin,647,0.07272005081176758
181,random graphs/matuszewski/5_by_n/n20/graph81.lgbin,642,0.07208395004272461
182,random graphs/matuszewski/5_by_n/n20/graph82.lgbin,525,0.07042956352233887
183,random graphs/matuszewski/5_by_n/n20/graph83.lgbin,626,0.0704948902130127
184,random graphs/matuszewski/5_by_n/n20/graph84.lgbin,548,0.07385373115539551
185,random graphs/matuszewski/5_by_n/n20/graph85.lgbin,655,0.07147097587585449
186,random graphs/matuszewski/5_by_n/n20/graph86.lgbin,556,0.07102012634277344
187,random graphs/matuszewski/5_by_n/n20/graph87.lgbin,615,0.07334470748901367
188,random graphs/matuszewski/5_by_n/n20/graph88.lgbin,668,0.07207250595092773
189,random graphs/matuszewski/5_by_n/n20/graph89.lgbin,642,0.07156801223754883
190,random graphs/matuszewski/5_by_n/n20/graph90.lgbin,544,0.07087135314941406
191,random graphs/matuszewski/5_by_n/n20/graph91.lgbin,559,0.0733342170715332
192,random graphs/matuszewski/5_by_n/n20/graph92.lgbin,574,0.07247018814086914
193,random graphs/matuszewski/5_by_n/n20/graph93.lgbin,582,0.07051491737365723
194,random graphs/matuszewski/5_by_n/n20/graph94.lgbin,623,0.07479715347290039
195,random graphs/matuszewski/5_by_n/n20/graph95.lgbin,623,0.07458043098449707
196,random graphs/matuszewski/5_by_n/n20/graph96.lgbin,612,0.07262682914733887
197,random graphs/matuszewski/5_by_n/n20/graph97.lgbin,554,0.07334208488464355
198,random graphs/matuszewski/5_by_n/n20/graph98.lgbin,653,0.07279634475708008
199,random graphs/matuszewski/5_by_n/n20/graph99.lgbin,601,0.07037043571472168
200,random graphs/matuszewski/5_by_n/n30/graph0.lgbin,1738,0.17308926582336426
201,random graphs/matuszewski/5_by_n/n30/graph1.lgbin,1319,0.16779780387878418
202,random graphs/matuszewski/5_by_n/n30/graph2.lgbin,1392,0.168565034866333
203,random graphs/matuszewski/5_by_n/n30/graph3.lgbin,1602,0.17177653312683105
204,random graphs/matuszewski/5_by_n/n30/graph4.lgbin,1432,0.17219233512878418
205,random graphs/matuszewski/5_by_n/n30/graph5.lgbin,1487,0.17043614387512207
206,random graphs/matuszewski/5_by_n/n30/graph6.lgbin,1452,0.16845703125
207,random graphs/matuszewski/5_by_n/n30/graph7.lgbin,1399,0.16174769401550293
208,random graphs/matuszewski/5_by_n/n30/graph8.lgbin,1423,0.16309213638305664
209,random graphs/matuszewski/5_by_n/n30/graph9.lgbin,1430,0.16321659088134766
210,random graphs/matuszewski/5_by_n/n30/graph10.lgbin,1270,0.16458535194396973
211,random graphs/matuszewski/5_by_n/n30/graph11.lgbin,1494,0.16761994361877441
212,random graphs/matuszewski/5_by_n/n30/graph12.lgbin,1494,0.17482805252075195
213,random graphs/matuszewski/5_by_n/n30/graph13.lgbin,1422,0.1632375717163086
214,random graphs/matuszewski/5_by_n/n30/graph14.lgbin,1443,0.1642923355102539
215,random graphs/matuszewski/5_by_n/n30/graph15.lgbin,1340,0.1609477996826172
216,random graphs/matuszewski/5_by_n/n30/graph16.lgbin,1325,0.16207170486450195
217,random graphs/matuszewski/5_by_n/n30/graph17.lgbin,1545,0.17029309272766113
218,random graphs/matuszewski/5_by_n/n30/graph18.lgbin,1517,0.18020987510681152
219,random graphs/matuszewski/5_by_n/n30/graph19.lgbin,1486,0.1640467643737793
220,random graphs/matuszewski/5_by_n/n30/graph20.lgbin,1272,0.16133832931518555
221,random graphs/matuszewski/5_by_n/n30/graph21.lgbin,1317,0.16397547721862793
222,random graphs/matuszewski/5_by_n/n30/graph22.lgbin,1450,0.16609811782836914
223,random graphs/matuszewski/5_by_n/n30/graph23.lgbin,1366,0.16497802734375
224,random graphs/matuszewski/5_by_n/n30/graph24.lgbin,1403,0.16244769096374512
225,random graphs/matuszewski/5_by_n/n30/graph25.lgbin,1454,0.16431903839111328
226,random graphs/matuszewski/5_by_n/n30/graph26.lgbin,1600,0.16745281219482422
227,random graphs/matuszewski/5_by_n/n30/graph27.lgbin,1394,0.16502714157104492
228,random graphs/matuszewski/5_by_n/n30/graph28.lgbin,1340,0.15943598747253418
229,random graphs/matuszewski/5_by_n/n30/graph29.lgbin,1469,0.16131973266601562
230,random graphs/matuszewski/5_by_n/n30/graph30.lgbin,1406,0.16305875778198242
231,random graphs/matuszewski/5_by_n/n30/graph31.lgbin,1444,0.17216944694519043
232,random graphs/matuszewski/5_by_n/n30/graph32.lgbin,1505,0.1705770492553711
233,random graphs/matuszewski/5_by_n/n30/graph33.lgbin,1455,0.16663193702697754
234,random graphs/matuszewski/5_by_n/n30/graph34.lgbin,1597,0.17252564430236816
235,random graphs/matuszewski/5_by_n/n30/graph35.lgbin,1353,0.16504454612731934
236,random graphs/matuszewski/5_by_n/n30/graph36.lgbin,1531,0.17117047309875488
237,random graphs/matuszewski/5_by_n/n30/graph37.lgbin,1546,0.16509485244750977
238,random graphs/matuszewski/5_by_n/n30/graph38.lgbin,1382,0.16250348091125488
239,random graphs/matuszewski/5_by_n/n30/graph39.lgbin,1416,0.16978168487548828
240,random graphs/matuszewski/5_by_n/n30/graph40.lgbin,1419,0.16346192359924316
241,random graphs/matuszewski/5_by_n/n30/graph41.lgbin,1222,0.16109991073608398
242,random graphs/matuszewski/5_by_n/n30/graph42.lgbin,1626,0.17238450050354004
243,random graphs/matuszewski/5_by_n/n30/graph43.lgbin,1480,0.15954232215881348
244,random graphs/matuszewski/5_by_n/n30/graph44.lgbin,1526,0.16970300674438477
245,random graphs/matuszewski/5_by_n/n30/graph45.lgbin,1465,0.161529541015625
246,random graphs/matuszewski/5_by_n/n30/graph46.lgbin,1367,0.16481471061706543
247,random graphs/matuszewski/5_by_n/n30/graph47.lgbin,1347,0.1630549430847168
248,random graphs/matuszewski/5_by_n/n30/graph48.lgbin,1430,0.1616196632385254
249,random graphs/matuszewski/5_by_n/n30/graph49.lgbin,1361,0.16554045677185059
250,random graphs/matuszewski/5_by_n/n30/graph50.lgbin,1368,0.16248846054077148
251,random graphs/matuszewski/5_by_n/n30/graph51.lgbin,1491,0.1644589900970459
252,random graphs/matuszewski/5_by_n/n30/graph52.lgbin,1512,0.16334176063537598
253,random graphs/matuszewski/5_by_n/n30/graph53.lgbin,1430,0.16453862190246582
254,random graphs/matuszewski/5_by_n/n30/graph54.lgbin,1327,0.16177010536193848
255,random graphs/matuszewski/5_by_n/n30/graph55.lgbin,1465,0.16617417335510254
256,random graphs/matuszewski/5_by_n/n30/graph56.lgbin,1563,0.17757749557495117
257,random graphs/matuszewski/5_by_n/n30/graph57.lgbin,1388,0.16358113288879395
258,random graphs/matuszewski/5_by_n/n30/graph58.lgbin,1345,0.1679229736328125
259,random graphs/matuszewski/5_by_n/n30/graph59.lgbin,1426,0.1675882339477539
260,random graphs/matuszewski/5_by_n/n30/graph60.lgbin,1483,0.16660404205322266
261,random graphs/matuszewski/5_by_n/n30/graph61.lgbin,1286,0.16121268272399902
262,random graphs/matuszewski/5_by_n/n30/graph62.lgbin,1320,0.16068625450134277
263,random graphs/matuszewski/5_by_n/n30/graph63.lgbin,1396,0.16843771934509277
264,random graphs/matuszewski/5_by_n/n30/graph64.lgbin,1402,0.16007566452026367
265,random graphs/matuszewski/5_by_n/n30/graph65.lgbin,1489,0.17548060417175293
