Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,11,0.011537313461303711
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,31,0.010956525802612305
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,3,0.010849237442016602
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,11,0.011876821517944336
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,18,0.011462926864624023
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,8,0.01040196418762207
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,9,0.011063337326049805
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,29,0.010607004165649414
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,26,0.009868621826171875
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,19,0.010143756866455078
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,22,0.009227275848388672
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,24,0.009384870529174805
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,13,0.008454084396362305
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,16,0.008879899978637695
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,11,0.008100271224975586
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,13,0.008275747299194336
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,16,0.008297204971313477
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,23,0.008150577545166016
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,12,0.008466958999633789
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,10,0.008167266845703125
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,11,0.008423566818237305
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,10,0.00841069221496582
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,10,0.008301973342895508
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,14,0.007837057113647461
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,17,0.007978439331054688
25,random graphs/matuszewski/k_by_10/k2/graph25.lgbin,26,0.00763392448425293
26,random graphs/matuszewski/k_by_10/k2/graph26.lgbin,14,0.007982254028320312
27,random graphs/matuszewski/k_by_10/k2/graph27.lgbin,21,0.008014917373657227
28,random graphs/matuszewski/k_by_10/k2/graph28.lgbin,12,0.007775545120239258
29,random graphs/matuszewski/k_by_10/k2/graph29.lgbin,12,0.0078067779541015625
30,random graphs/matuszewski/k_by_10/k2/graph30.lgbin,16,0.007783651351928711
31,random graphs/matuszewski/k_by_10/k2/graph31.lgbin,18,0.007946968078613281
32,random graphs/matuszewski/k_by_10/k2/graph32.lgbin,18,0.0074427127838134766
33,random graphs/matuszewski/k_by_10/k2/graph33.lgbin,6,0.007871866226196289
34,random graphs/matuszewski/k_by_10/k2/graph34.lgbin,11,0.007714271545410156
35,random graphs/matuszewski/k_by_10/k2/graph35.lgbin,14,0.007767438888549805
36,random graphs/matuszewski/k_by_10/k2/graph36.lgbin,11,0.007821798324584961
37,random graphs/matuszewski/k_by_10/k2/graph37.lgbin,4,0.00798797607421875
38,random graphs/matuszewski/k_by_10/k2/graph38.lgbin,6,0.007941484451293945
39,random graphs/matuszewski/k_by_10/k2/graph39.lgbin,9,0.008045673370361328
40,random graphs/matuszewski/k_by_10/k2/graph40.lgbin,21,0.007776737213134766
41,random graphs/matuszewski/k_by_10/k2/graph41.lgbin,14,0.00760197639465332
42,random graphs/matuszewski/k_by_10/k2/graph42.lgbin,13,0.007750034332275391
43,random graphs/matuszewski/k_by_10/k2/graph43.lgbin,21,0.007504463195800781
44,random graphs/matuszewski/k_by_10/k2/graph44.lgbin,21,0.0076141357421875
45,random graphs/matuszewski/k_by_10/k2/graph45.lgbin,18,0.007681608200073242
46,random graphs/matuszewski/k_by_10/k2/graph46.lgbin,30,0.007552146911621094
47,random graphs/matuszewski/k_by_10/k2/graph47.lgbin,16,0.0075528621673583984
48,random graphs/matuszewski/k_by_10/k2/graph48.lgbin,12,0.007554531097412109
49,random graphs/matuszewski/k_by_10/k2/graph49.lgbin,10,0.0075914859771728516
50,random graphs/matuszewski/k_by_10/k2/graph50.lgbin,21,0.007784843444824219
51,random graphs/matuszewski/k_by_10/k2/graph51.lgbin,19,0.0074079036712646484
52,random graphs/matuszewski/k_by_10/k2/graph52.lgbin,10,0.007551670074462891
53,random graphs/matuszewski/k_by_10/k2/graph53.lgbin,11,0.007687568664550781
54,random graphs/matuszewski/k_by_10/k2/graph54.lgbin,14,0.007423877716064453
55,random graphs/matuszewski/k_by_10/k2/graph55.lgbin,12,0.00812840461730957
56,random graphs/matuszewski/k_by_10/k2/graph56.lgbin,12,0.007944822311401367
57,random graphs/matuszewski/k_by_10/k2/graph57.lgbin,13,0.008184671401977539
58,random graphs/matuszewski/k_by_10/k2/graph58.lgbin,15,0.007953405380249023
59,random graphs/matuszewski/k_by_10/k2/graph59.lgbin,17,0.007917404174804688
60,random graphs/matuszewski/k_by_10/k2/graph60.lgbin,19,0.007698535919189453
61,random graphs/matuszewski/k_by_10/k2/graph61.lgbin,19,0.0077092647552490234
62,random graphs/matuszewski/k_by_10/k2/graph62.lgbin,13,0.007749795913696289
63,random graphs/matuszewski/k_by_10/k2/graph63.lgbin,21,0.0075838565826416016
64,random graphs/matuszewski/k_by_10/k2/graph64.lgbin,16,0.007535457611083984
65,random graphs/matuszewski/k_by_10/k2/graph65.lgbin,18,0.007611274719238281
