Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,110,0.02338886260986328
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,95,0.023474454879760742
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,99,0.020033836364746094
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,94,0.01973748207092285
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,119,0.020527362823486328
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,109,0.01944446563720703
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,105,0.0152740478515625
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,93,0.023524999618530273
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,95,0.01962447166442871
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,76,0.019445180892944336
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,95,0.02729010581970215
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,119,0.015674829483032227
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,114,0.015249252319335938
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,107,0.024755001068115234
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,98,0.020608901977539062
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,101,0.01925039291381836
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,146,0.02069091796875
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,83,0.018941164016723633
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,107,0.020131587982177734
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,98,0.024042844772338867
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,122,0.0251004695892334
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,85,0.018768787384033203
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,113,0.020251035690307617
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,100,0.01931452751159668
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,93,0.023286819458007812
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,73,0.023414134979248047
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,86,0.01901102066040039
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,101,0.028538942337036133
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,120,0.015173673629760742
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,94,0.01955270767211914
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,118,0.027550220489501953
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,102,0.023530006408691406
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,87,0.015316247940063477
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,92,0.01936817169189453
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,132,0.01601409912109375
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,135,0.022411346435546875
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,101,0.024639606475830078
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,118,0.019376516342163086
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,113,0.020296812057495117
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,105,0.027703046798706055
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,104,0.02004241943359375
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,104,0.02482128143310547
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,88,0.019610881805419922
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,125,0.025227069854736328
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,98,0.01914501190185547
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,112,0.022922039031982422
46,random graphs/matuszewski/5_by_n/n10/graph46.lgbin,112,0.023798704147338867
47,random graphs/matuszewski/5_by_n/n10/graph47.lgbin,106,0.025187015533447266
48,random graphs/matuszewski/5_by_n/n10/graph48.lgbin,88,0.01991891860961914
49,random graphs/matuszewski/5_by_n/n10/graph49.lgbin,111,0.020335912704467773
50,random graphs/matuszewski/5_by_n/n10/graph50.lgbin,92,0.019517898559570312
51,random graphs/matuszewski/5_by_n/n10/graph51.lgbin,83,0.023075342178344727
52,random graphs/matuszewski/5_by_n/n10/graph52.lgbin,94,0.023717641830444336
53,random graphs/matuszewski/5_by_n/n10/graph53.lgbin,97,0.02406024932861328
54,random graphs/matuszewski/5_by_n/n10/graph54.lgbin,114,0.024184703826904297
55,random graphs/matuszewski/5_by_n/n10/graph55.lgbin,101,0.020220518112182617
56,random graphs/matuszewski/5_by_n/n10/graph56.lgbin,107,0.02757120132446289
57,random graphs/matuszewski/5_by_n/n10/graph57.lgbin,119,0.01971149444580078
58,random graphs/matuszewski/5_by_n/n10/graph58.lgbin,114,0.024023056030273438
59,random graphs/matuszewski/5_by_n/n10/graph59.lgbin,90,0.023942947387695312
60,random graphs/matuszewski/5_by_n/n10/graph60.lgbin,101,0.019975900650024414
61,random graphs/matuszewski/5_by_n/n10/graph61.lgbin,75,0.02323436737060547
62,random graphs/matuszewski/5_by_n/n10/graph62.lgbin,80,0.019121170043945312
63,random graphs/matuszewski/5_by_n/n10/graph63.lgbin,82,0.023195266723632812
64,random graphs/matuszewski/5_by_n/n10/graph64.lgbin,106,0.02001476287841797
65,random graphs/matuszewski/5_by_n/n10/graph65.lgbin,81,0.01918625831604004
66,random graphs/matuszewski/5_by_n/n10/graph66.lgbin,109,0.014885902404785156
67,random graphs/matuszewski/5_by_n/n10/graph67.lgbin,122,0.019740581512451172
68,random graphs/matuszewski/5_by_n/n10/graph68.lgbin,97,0.01915454864501953
69,random graphs/matuszewski/5_by_n/n10/graph69.lgbin,110,0.024152517318725586
70,random graphs/matuszewski/5_by_n/n10/graph70.lgbin,110,0.019721031188964844
71,random graphs/matuszewski/5_by_n/n10/graph71.lgbin,101,0.019290924072265625
72,random graphs/matuszewski/5_by_n/n10/graph72.lgbin,108,0.0270841121673584
73,random graphs/matuszewski/5_by_n/n10/graph73.lgbin,105,0.023627758026123047
74,random graphs/matuszewski/5_by_n/n10/graph74.lgbin,100,0.019754886627197266
75,random graphs/matuszewski/5_by_n/n10/graph75.lgbin,130,0.015895366668701172
76,random graphs/matuszewski/5_by_n/n10/graph76.lgbin,121,0.02068352699279785
77,random graphs/matuszewski/5_by_n/n10/graph77.lgbin,139,0.020410776138305664
78,random graphs/matuszewski/5_by_n/n10/graph78.lgbin,73,0.0231478214263916
79,random graphs/matuszewski/5_by_n/n10/graph79.lgbin,107,0.019531726837158203
80,random graphs/matuszewski/5_by_n/n10/graph80.lgbin,128,0.02474665641784668
81,random graphs/matuszewski/5_by_n/n10/graph81.lgbin,113,0.019873857498168945
