Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,10,0.003921031951904297
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,15,0.0036721229553222656
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,3,0.003973245620727539
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,11,0.0037899017333984375
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,11,0.00508570671081543
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,8,0.003877878189086914
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,7,0.0040242671966552734
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,27,0.0039081573486328125
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,26,0.0037565231323242188
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,19,0.003916740417480469
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,18,0.0037384033203125
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,24,0.0038433074951171875
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,13,0.0037076473236083984
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,6,0.005234479904174805
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,11,0.0038154125213623047
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,13,0.0038299560546875
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,15,0.003854036331176758
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,23,0.0037927627563476562
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,9,0.0038938522338867188
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,9,0.0037407875061035156
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,11,0.003940582275390625
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,10,0.003987312316894531
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,9,0.003943204879760742
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,10,0.005117177963256836
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,17,0.003975629806518555
25,random graphs/matuszewski/k_by_10/k2/graph25.lgbin,16,0.0049703121185302734
26,random graphs/matuszewski/k_by_10/k2/graph26.lgbin,15,0.0039310455322265625
27,random graphs/matuszewski/k_by_10/k2/graph27.lgbin,13,0.005135536193847656
28,random graphs/matuszewski/k_by_10/k2/graph28.lgbin,11,0.003894329071044922
29,random graphs/matuszewski/k_by_10/k2/graph29.lgbin,8,0.0038886070251464844
30,random graphs/matuszewski/k_by_10/k2/graph30.lgbin,16,0.003906726837158203
31,random graphs/matuszewski/k_by_10/k2/graph31.lgbin,18,0.00392913818359375
32,random graphs/matuszewski/k_by_10/k2/graph32.lgbin,18,0.00390934944152832
33,random graphs/matuszewski/k_by_10/k2/graph33.lgbin,5,0.004004240036010742
34,random graphs/matuszewski/k_by_10/k2/graph34.lgbin,10,0.004018068313598633
35,random graphs/matuszewski/k_by_10/k2/graph35.lgbin,11,0.0038878917694091797
36,random graphs/matuszewski/k_by_10/k2/graph36.lgbin,8,0.003844022750854492
37,random graphs/matuszewski/k_by_10/k2/graph37.lgbin,4,0.0039997100830078125
38,random graphs/matuszewski/k_by_10/k2/graph38.lgbin,6,0.003875732421875
39,random graphs/matuszewski/k_by_10/k2/graph39.lgbin,8,0.00398564338684082
40,random graphs/matuszewski/k_by_10/k2/graph40.lgbin,21,0.0038063526153564453
41,random graphs/matuszewski/k_by_10/k2/graph41.lgbin,11,0.0038290023803710938
42,random graphs/matuszewski/k_by_10/k2/graph42.lgbin,13,0.005065441131591797
43,random graphs/matuszewski/k_by_10/k2/graph43.lgbin,20,0.0038743019104003906
44,random graphs/matuszewski/k_by_10/k2/graph44.lgbin,3,0.006331920623779297
45,random graphs/matuszewski/k_by_10/k2/graph45.lgbin,18,0.003847837448120117
46,random graphs/matuszewski/k_by_10/k2/graph46.lgbin,19,0.0052754878997802734
47,random graphs/matuszewski/k_by_10/k2/graph47.lgbin,16,0.004010915756225586
48,random graphs/matuszewski/k_by_10/k2/graph48.lgbin,11,0.0040323734283447266
49,random graphs/matuszewski/k_by_10/k2/graph49.lgbin,10,0.003959178924560547
50,random graphs/matuszewski/k_by_10/k2/graph50.lgbin,18,0.005339860916137695
51,random graphs/matuszewski/k_by_10/k2/graph51.lgbin,18,0.00394749641418457
52,random graphs/matuszewski/k_by_10/k2/graph52.lgbin,10,0.004054546356201172
53,random graphs/matuszewski/k_by_10/k2/graph53.lgbin,11,0.0041446685791015625
54,random graphs/matuszewski/k_by_10/k2/graph54.lgbin,13,0.004014492034912109
55,random graphs/matuszewski/k_by_10/k2/graph55.lgbin,12,0.0040433406829833984
56,random graphs/matuszewski/k_by_10/k2/graph56.lgbin,11,0.004012107849121094
57,random graphs/matuszewski/k_by_10/k2/graph57.lgbin,13,0.004171609878540039
58,random graphs/matuszewski/k_by_10/k2/graph58.lgbin,5,0.0052683353424072266
59,random graphs/matuszewski/k_by_10/k2/graph59.lgbin,16,0.003992557525634766
60,random graphs/matuszewski/k_by_10/k2/graph60.lgbin,19,0.004054069519042969
61,random graphs/matuszewski/k_by_10/k2/graph61.lgbin,19,0.0040814876556396484
62,random graphs/matuszewski/k_by_10/k2/graph62.lgbin,13,0.0041103363037109375
63,random graphs/matuszewski/k_by_10/k2/graph63.lgbin,20,0.004003763198852539
64,random graphs/matuszewski/k_by_10/k2/graph64.lgbin,16,0.00401616096496582
65,random graphs/matuszewski/k_by_10/k2/graph65.lgbin,18,0.003996372222900391
66,random graphs/matuszewski/k_by_10/k2/graph66.lgbin,14,0.004042863845825195
67,random graphs/matuszewski/k_by_10/k2/graph67.lgbin,6,0.005326271057128906
68,random graphs/matuszewski/k_by_10/k2/graph68.lgbin,11,0.006535053253173828
69,random graphs/matuszewski/k_by_10/k2/graph69.lgbin,7,0.004110574722290039
70,random graphs/matuszewski/k_by_10/k2/graph70.lgbin,13,0.004041194915771484
71,random graphs/matuszewski/k_by_10/k2/graph71.lgbin,8,0.004063129425048828
72,random graphs/matuszewski/k_by_10/k2/graph72.lgbin,10,0.0040607452392578125
73,random graphs/matuszewski/k_by_10/k2/graph73.lgbin,18,0.004099369049072266
74,random graphs/matuszewski/k_by_10/k2/graph74.lgbin,8,0.004067897796630859
75,random graphs/matuszewski/k_by_10/k2/graph75.lgbin,16,0.004067659378051758
76,random graphs/matuszewski/k_by_10/k2/graph76.lgbin,7,0.00409388542175293
77,random graphs/matuszewski/k_by_10/k2/graph77.lgbin,23,0.003947257995605469
78,random graphs/matuszewski/k_by_10/k2/graph78.lgbin,13,0.0039288997650146484
79,random graphs/matuszewski/k_by_10/k2/graph79.lgbin,12,0.0041046142578125
80,random graphs/matuszewski/k_by_10/k2/graph80.lgbin,11,0.004126310348510742
81,random graphs/matuszewski/k_by_10/k2/graph81.lgbin,17,0.0039713382720947266
82,random graphs/matuszewski/k_by_10/k2/graph82.lgbin,14,0.005321979522705078
83,random graphs/matuszewski/k_by_10/k2/graph83.lgbin,4,0.006461143493652344
84,random graphs/matuszewski/k_by_10/k2/graph84.lgbin,11,0.0040967464447021484
85,random graphs/matuszewski/k_by_10/k2/graph85.lgbin,17,0.0040035247802734375
86,random graphs/matuszewski/k_by_10/k2/graph86.lgbin,10,0.004074573516845703
87,random graphs/matuszewski/k_by_10/k2/graph87.lgbin,18,0.004027366638183594
88,random graphs/matuszewski/k_by_10/k2/graph88.lgbin,23,0.003975868225097656
89,random graphs/matuszewski/k_by_10/k2/graph89.lgbin,13,0.004094839096069336
90,random graphs/matuszewski/k_by_10/k2/graph90.lgbin,15,0.003955841064453125
91,random graphs/matuszewski/k_by_10/k2/graph91.lgbin,11,0.0053555965423583984
92,random graphs/matuszewski/k_by_10/k2/graph92.lgbin,6,0.003993511199951172
93,random graphs/matuszewski/k_by_10/k2/graph93.lgbin,24,0.004004478454589844
94,random graphs/matuszewski/k_by_10/k2/graph94.lgbin,10,0.005293607711791992
95,random graphs/matuszewski/k_by_10/k2/graph95.lgbin,20,0.003925800323486328
96,random graphs/matuszewski/k_by_10/k2/graph96.lgbin,10,0.0040035247802734375
97,random graphs/matuszewski/k_by_10/k2/graph97.lgbin,18,0.0039691925048828125
98,random graphs/matuszewski/k_by_10/k2/graph98.lgbin,19,0.004047870635986328
99,random graphs/matuszewski/k_by_10/k2/graph99.lgbin,16,0.004054069519042969
100,random graphs/matuszewski/k_by_10/k3/graph0.lgbin,35,0.00972604751586914
101,random graphs/matuszewski/k_by_10/k3/graph1.lgbin,30,0.00958395004272461
102,random graphs/matuszewski/k_by_10/k3/graph2.lgbin,56,0.012527704238891602
103,random graphs/matuszewski/k_by_10/k3/graph3.lgbin,42,0.0076656341552734375
104,random graphs/matuszewski/k_by_10/k3/graph4.lgbin,40,0.0074961185455322266
105,random graphs/matuszewski/k_by_10/k3/graph5.lgbin,34,0.007514238357543945
106,random graphs/matuszewski/k_by_10/k3/graph6.lgbin,51,0.007575035095214844
107,random graphs/matuszewski/k_by_10/k3/graph7.lgbin,42,0.007576704025268555
108,random graphs/matuszewski/k_by_10/k3/graph8.lgbin,42,0.009603261947631836
109,random graphs/matuszewski/k_by_10/k3/graph9.lgbin,39,0.009681940078735352
110,random graphs/matuszewski/k_by_10/k3/graph10.lgbin,24,0.007560253143310547
111,random graphs/matuszewski/k_by_10/k3/graph11.lgbin,25,0.009574651718139648
112,random graphs/matuszewski/k_by_10/k3/graph12.lgbin,42,0.007587432861328125
113,random graphs/matuszewski/k_by_10/k3/graph13.lgbin,36,0.009676933288574219
114,random graphs/matuszewski/k_by_10/k3/graph14.lgbin,44,0.012061595916748047
115,random graphs/matuszewski/k_by_10/k3/graph15.lgbin,37,0.0075037479400634766
116,random graphs/matuszewski/k_by_10/k3/graph16.lgbin,46,0.010000228881835938
117,random graphs/matuszewski/k_by_10/k3/graph17.lgbin,43,0.007500886917114258
118,random graphs/matuszewski/k_by_10/k3/graph18.lgbin,29,0.00775909423828125
119,random graphs/matuszewski/k_by_10/k3/graph19.lgbin,49,0.00719761848449707
120,random graphs/matuszewski/k_by_10/k3/graph20.lgbin,37,0.007653474807739258
121,random graphs/matuszewski/k_by_10/k3/graph21.lgbin,52,0.00956869125366211
122,random graphs/matuszewski/k_by_10/k3/graph22.lgbin,40,0.007765054702758789
123,random graphs/matuszewski/k_by_10/k3/graph23.lgbin,50,0.007513523101806641
124,random graphs/matuszewski/k_by_10/k3/graph24.lgbin,47,0.007731914520263672
125,random graphs/matuszewski/k_by_10/k3/graph25.lgbin,48,0.0074727535247802734
126,random graphs/matuszewski/k_by_10/k3/graph26.lgbin,37,0.010024309158325195
127,random graphs/matuszewski/k_by_10/k3/graph27.lgbin,45,0.007534503936767578
128,random graphs/matuszewski/k_by_10/k3/graph28.lgbin,25,0.007488727569580078
129,random graphs/matuszewski/k_by_10/k3/graph29.lgbin,35,0.012002229690551758
130,random graphs/matuszewski/k_by_10/k3/graph30.lgbin,40,0.007342338562011719
131,random graphs/matuszewski/k_by_10/k3/graph31.lgbin,34,0.007470846176147461
132,random graphs/matuszewski/k_by_10/k3/graph32.lgbin,40,0.007673025131225586
133,random graphs/matuszewski/k_by_10/k3/graph33.lgbin,31,0.00953221321105957
