Index,File,Crossings,Runtime
0,random graphs/matuszewski/10_by_10_density/d15/graph0.lgbin,100,0.02741074562072754
1,random graphs/matuszewski/10_by_10_density/d15/graph1.lgbin,102,0.027160167694091797
2,random graphs/matuszewski/10_by_10_density/d15/graph2.lgbin,90,0.02686452865600586
3,random graphs/matuszewski/10_by_10_density/d15/graph3.lgbin,90,0.02716660499572754
4,random graphs/matuszewski/10_by_10_density/d15/graph4.lgbin,77,0.02723383903503418
5,random graphs/matuszewski/10_by_10_density/d15/graph5.lgbin,97,0.027027130126953125
6,random graphs/matuszewski/10_by_10_density/d15/graph6.lgbin,118,0.027057647705078125
7,random graphs/matuszewski/10_by_10_density/d15/graph7.lgbin,96,0.02736067771911621
8,random graphs/matuszewski/10_by_10_density/d15/graph8.lgbin,104,0.027385234832763672
9,random graphs/matuszewski/10_by_10_density/d15/graph9.lgbin,84,0.027570724487304688
10,random graphs/matuszewski/10_by_10_density/d15/graph10.lgbin,101,0.026813507080078125
11,random graphs/matuszewski/10_by_10_density/d15/graph11.lgbin,107,0.026964664459228516
12,random graphs/matuszewski/10_by_10_density/d15/graph12.lgbin,125,0.026930809020996094
13,random graphs/matuszewski/10_by_10_density/d15/graph13.lgbin,110,0.027116060256958008
14,random graphs/matuszewski/10_by_10_density/d15/graph14.lgbin,104,0.027158021926879883
15,random graphs/matuszewski/10_by_10_density/d15/graph15.lgbin,117,0.026877880096435547
16,random graphs/matuszewski/10_by_10_density/d15/graph16.lgbin,95,0.026596784591674805
17,random graphs/matuszewski/10_by_10_density/d15/graph17.lgbin,90,0.02730274200439453
18,random graphs/matuszewski/10_by_10_density/d15/graph18.lgbin,118,0.026899337768554688
19,random graphs/matuszewski/10_by_10_density/d15/graph19.lgbin,114,0.026799917221069336
20,random graphs/matuszewski/10_by_10_density/d15/graph20.lgbin,119,0.02697467803955078
21,random graphs/matuszewski/10_by_10_density/d15/graph21.lgbin,103,0.027657032012939453
22,random graphs/matuszewski/10_by_10_density/d15/graph22.lgbin,100,0.02707672119140625
23,random graphs/matuszewski/10_by_10_density/d15/graph23.lgbin,104,0.02712702751159668
24,random graphs/matuszewski/10_by_10_density/d15/graph24.lgbin,98,0.026892423629760742
25,random graphs/matuszewski/10_by_10_density/d15/graph25.lgbin,110,0.026998043060302734
26,random graphs/matuszewski/10_by_10_density/d15/graph26.lgbin,113,0.027246713638305664
27,random graphs/matuszewski/10_by_10_density/d15/graph27.lgbin,116,0.02743363380432129
28,random graphs/matuszewski/10_by_10_density/d15/graph28.lgbin,87,0.02666330337524414
29,random graphs/matuszewski/10_by_10_density/d15/graph29.lgbin,100,0.026998519897460938
30,random graphs/matuszewski/10_by_10_density/d15/graph30.lgbin,94,0.027018308639526367
31,random graphs/matuszewski/10_by_10_density/d15/graph31.lgbin,90,0.026849031448364258
32,random graphs/matuszewski/10_by_10_density/d15/graph32.lgbin,111,0.026634931564331055
33,random graphs/matuszewski/10_by_10_density/d15/graph33.lgbin,89,0.026379108428955078
34,random graphs/matuszewski/10_by_10_density/d15/graph34.lgbin,87,0.026705026626586914
35,random graphs/matuszewski/10_by_10_density/d15/graph35.lgbin,99,0.026775360107421875
36,random graphs/matuszewski/10_by_10_density/d15/graph36.lgbin,81,0.027301311492919922
37,random graphs/matuszewski/10_by_10_density/d15/graph37.lgbin,109,0.027529478073120117
38,random graphs/matuszewski/10_by_10_density/d15/graph38.lgbin,108,0.027147531509399414
39,random graphs/matuszewski/10_by_10_density/d15/graph39.lgbin,113,0.026615381240844727
40,random graphs/matuszewski/10_by_10_density/d15/graph40.lgbin,89,0.02691340446472168
41,random graphs/matuszewski/10_by_10_density/d15/graph41.lgbin,88,0.027091503143310547
42,random graphs/matuszewski/10_by_10_density/d15/graph42.lgbin,109,0.027089357376098633
43,random graphs/matuszewski/10_by_10_density/d15/graph43.lgbin,117,0.027197837829589844
44,random graphs/matuszewski/10_by_10_density/d15/graph44.lgbin,104,0.026970863342285156
45,random graphs/matuszewski/10_by_10_density/d15/graph45.lgbin,99,0.026942729949951172
46,random graphs/matuszewski/10_by_10_density/d15/graph46.lgbin,89,0.026879549026489258
47,random graphs/matuszewski/10_by_10_density/d15/graph47.lgbin,101,0.027123212814331055
48,random graphs/matuszewski/10_by_10_density/d15/graph48.lgbin,119,0.027022600173950195
49,random graphs/matuszewski/10_by_10_density/d15/graph49.lgbin,124,0.026955127716064453
50,random graphs/matuszewski/10_by_10_density/d15/graph50.lgbin,103,0.027045011520385742
51,random graphs/matuszewski/10_by_10_density/d15/graph51.lgbin,96,0.026851892471313477
52,random graphs/matuszewski/10_by_10_density/d15/graph52.lgbin,93,0.02730083465576172
53,random graphs/matuszewski/10_by_10_density/d15/graph53.lgbin,102,0.027185678482055664
54,random graphs/matuszewski/10_by_10_density/d15/graph54.lgbin,112,0.026996135711669922
55,random graphs/matuszewski/10_by_10_density/d15/graph55.lgbin,118,0.02736496925354004
56,random graphs/matuszewski/10_by_10_density/d15/graph56.lgbin,86,0.02687835693359375
57,random graphs/matuszewski/10_by_10_density/d15/graph57.lgbin,92,0.027089834213256836
58,random graphs/matuszewski/10_by_10_density/d15/graph58.lgbin,115,0.026791095733642578
59,random graphs/matuszewski/10_by_10_density/d15/graph59.lgbin,105,0.02693319320678711
60,random graphs/matuszewski/10_by_10_density/d15/graph60.lgbin,102,0.027123689651489258
61,random graphs/matuszewski/10_by_10_density/d15/graph61.lgbin,108,0.02745985984802246
62,random graphs/matuszewski/10_by_10_density/d15/graph62.lgbin,103,0.027322053909301758
63,random graphs/matuszewski/10_by_10_density/d15/graph63.lgbin,103,0.027222394943237305
64,random graphs/matuszewski/10_by_10_density/d15/graph64.lgbin,90,0.026943206787109375
