Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,117,0.020410537719726562
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,115,0.020175457000732422
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,123,0.021552324295043945
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,96,0.021173715591430664
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,121,0.021937847137451172
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,120,0.021051645278930664
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,109,0.020553112030029297
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,100,0.02042388916015625
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,101,0.020810604095458984
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,103,0.020612478256225586
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,122,0.020093917846679688
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,127,0.02110576629638672
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,122,0.021013498306274414
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,133,0.021985530853271484
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,108,0.022500276565551758
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,103,0.020465850830078125
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,150,0.022328615188598633
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,107,0.02030658721923828
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,121,0.021085500717163086
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,107,0.02079939842224121
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,132,0.02265334129333496
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,102,0.01965808868408203
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,144,0.02223992347717285
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,128,0.020726680755615234
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,106,0.020626068115234375
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,73,0.020467281341552734
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,99,0.02021002769470215
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,113,0.021452903747558594
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,122,0.020757198333740234
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,119,0.02082228660583496
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,127,0.020767927169799805
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,113,0.020376920700073242
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,96,0.02069568634033203
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,107,0.020337820053100586
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,132,0.022006750106811523
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,160,0.025060176849365234
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,108,0.021318435668945312
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,122,0.02046823501586914
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,115,0.021912813186645508
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,127,0.02068781852722168
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,107,0.02120804786682129
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,131,0.0209653377532959
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,96,0.021121740341186523
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,141,0.02141571044921875
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,109,0.02001667022705078
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,131,0.02039170265197754
46,random graphs/matuszewski/5_by_n/n10/graph46.lgbin,118,0.0206601619720459
47,random graphs/matuszewski/5_by_n/n10/graph47.lgbin,144,0.02246880531311035
48,random graphs/matuszewski/5_by_n/n10/graph48.lgbin,102,0.02075672149658203
49,random graphs/matuszewski/5_by_n/n10/graph49.lgbin,117,0.021683692932128906
50,random graphs/matuszewski/5_by_n/n10/graph50.lgbin,97,0.02068614959716797
51,random graphs/matuszewski/5_by_n/n10/graph51.lgbin,104,0.020188570022583008
52,random graphs/matuszewski/5_by_n/n10/graph52.lgbin,115,0.020872116088867188
53,random graphs/matuszewski/5_by_n/n10/graph53.lgbin,130,0.02155137062072754
54,random graphs/matuszewski/5_by_n/n10/graph54.lgbin,128,0.021641254425048828
55,random graphs/matuszewski/5_by_n/n10/graph55.lgbin,130,0.021108388900756836
56,random graphs/matuszewski/5_by_n/n10/graph56.lgbin,129,0.02003645896911621
57,random graphs/matuszewski/5_by_n/n10/graph57.lgbin,130,0.021053075790405273
58,random graphs/matuszewski/5_by_n/n10/graph58.lgbin,130,0.021051883697509766
59,random graphs/matuszewski/5_by_n/n10/graph59.lgbin,109,0.020576953887939453
60,random graphs/matuszewski/5_by_n/n10/graph60.lgbin,111,0.021059036254882812
61,random graphs/matuszewski/5_by_n/n10/graph61.lgbin,81,0.02058887481689453
62,random graphs/matuszewski/5_by_n/n10/graph62.lgbin,87,0.020092010498046875
63,random graphs/matuszewski/5_by_n/n10/graph63.lgbin,119,0.020279884338378906
64,random graphs/matuszewski/5_by_n/n10/graph64.lgbin,104,0.021068096160888672
65,random graphs/matuszewski/5_by_n/n10/graph65.lgbin,92,0.020253896713256836
66,random graphs/matuszewski/5_by_n/n10/graph66.lgbin,120,0.02014756202697754
67,random graphs/matuszewski/5_by_n/n10/graph67.lgbin,130,0.021106719970703125
68,random graphs/matuszewski/5_by_n/n10/graph68.lgbin,111,0.019835233688354492
69,random graphs/matuszewski/5_by_n/n10/graph69.lgbin,126,0.021403074264526367
70,random graphs/matuszewski/5_by_n/n10/graph70.lgbin,111,0.020903587341308594
71,random graphs/matuszewski/5_by_n/n10/graph71.lgbin,106,0.020711660385131836
72,random graphs/matuszewski/5_by_n/n10/graph72.lgbin,126,0.01982259750366211
73,random graphs/matuszewski/5_by_n/n10/graph73.lgbin,110,0.020815610885620117
74,random graphs/matuszewski/5_by_n/n10/graph74.lgbin,104,0.02153611183166504
75,random graphs/matuszewski/5_by_n/n10/graph75.lgbin,132,0.021868228912353516
76,random graphs/matuszewski/5_by_n/n10/graph76.lgbin,125,0.02255392074584961
77,random graphs/matuszewski/5_by_n/n10/graph77.lgbin,148,0.021449565887451172
78,random graphs/matuszewski/5_by_n/n10/graph78.lgbin,91,0.019922971725463867
79,random graphs/matuszewski/5_by_n/n10/graph79.lgbin,112,0.021201133728027344
80,random graphs/matuszewski/5_by_n/n10/graph80.lgbin,143,0.0212252140045166
81,random graphs/matuszewski/5_by_n/n10/graph81.lgbin,118,0.020893096923828125
82,random graphs/matuszewski/5_by_n/n10/graph82.lgbin,108,0.02008795738220215
83,random graphs/matuszewski/5_by_n/n10/graph83.lgbin,141,0.02075481414794922
84,random graphs/matuszewski/5_by_n/n10/graph84.lgbin,139,0.020334243774414062
