Index,File,Crossings,Runtime
0,random graphs/matuszewski/10_by_10_density/d15/graph0.lgbin,85,0.047926902770996094
1,random graphs/matuszewski/10_by_10_density/d15/graph1.lgbin,85,0.05000662803649902
2,random graphs/matuszewski/10_by_10_density/d15/graph2.lgbin,84,0.0535740852355957
3,random graphs/matuszewski/10_by_10_density/d15/graph3.lgbin,96,0.053383588790893555
4,random graphs/matuszewski/10_by_10_density/d15/graph4.lgbin,63,0.049793243408203125
5,random graphs/matuszewski/10_by_10_density/d15/graph5.lgbin,89,0.05249333381652832
6,random graphs/matuszewski/10_by_10_density/d15/graph6.lgbin,98,0.05041074752807617
7,random graphs/matuszewski/10_by_10_density/d15/graph7.lgbin,78,0.05550074577331543
8,random graphs/matuszewski/10_by_10_density/d15/graph8.lgbin,89,0.049469709396362305
9,random graphs/matuszewski/10_by_10_density/d15/graph9.lgbin,80,0.05015373229980469
10,random graphs/matuszewski/10_by_10_density/d15/graph10.lgbin,74,0.04941844940185547
11,random graphs/matuszewski/10_by_10_density/d15/graph11.lgbin,77,0.04858994483947754
12,random graphs/matuszewski/10_by_10_density/d15/graph12.lgbin,91,0.047615766525268555
13,random graphs/matuszewski/10_by_10_density/d15/graph13.lgbin,81,0.05299782752990723
14,random graphs/matuszewski/10_by_10_density/d15/graph14.lgbin,91,0.04613065719604492
15,random graphs/matuszewski/10_by_10_density/d15/graph15.lgbin,86,0.05028700828552246
16,random graphs/matuszewski/10_by_10_density/d15/graph16.lgbin,73,0.04968690872192383
17,random graphs/matuszewski/10_by_10_density/d15/graph17.lgbin,88,0.04828691482543945
18,random graphs/matuszewski/10_by_10_density/d15/graph18.lgbin,98,0.05076098442077637
19,random graphs/matuszewski/10_by_10_density/d15/graph19.lgbin,76,0.0516817569732666
20,random graphs/matuszewski/10_by_10_density/d15/graph20.lgbin,88,0.04529452323913574
21,random graphs/matuszewski/10_by_10_density/d15/graph21.lgbin,96,0.04838442802429199
22,random graphs/matuszewski/10_by_10_density/d15/graph22.lgbin,82,0.04887580871582031
23,random graphs/matuszewski/10_by_10_density/d15/graph23.lgbin,66,0.04811215400695801
24,random graphs/matuszewski/10_by_10_density/d15/graph24.lgbin,80,0.05147266387939453
25,random graphs/matuszewski/10_by_10_density/d15/graph25.lgbin,78,0.05149364471435547
26,random graphs/matuszewski/10_by_10_density/d15/graph26.lgbin,85,0.04778742790222168
27,random graphs/matuszewski/10_by_10_density/d15/graph27.lgbin,83,0.049094438552856445
28,random graphs/matuszewski/10_by_10_density/d15/graph28.lgbin,75,0.04506802558898926
29,random graphs/matuszewski/10_by_10_density/d15/graph29.lgbin,72,0.04717826843261719
30,random graphs/matuszewski/10_by_10_density/d15/graph30.lgbin,89,0.05373024940490723
31,random graphs/matuszewski/10_by_10_density/d15/graph31.lgbin,70,0.04786348342895508
32,random graphs/matuszewski/10_by_10_density/d15/graph32.lgbin,89,0.05309557914733887
33,random graphs/matuszewski/10_by_10_density/d15/graph33.lgbin,67,0.052469491958618164
34,random graphs/matuszewski/10_by_10_density/d15/graph34.lgbin,67,0.054572105407714844
35,random graphs/matuszewski/10_by_10_density/d15/graph35.lgbin,80,0.04902291297912598
36,random graphs/matuszewski/10_by_10_density/d15/graph36.lgbin,83,0.05292963981628418
37,random graphs/matuszewski/10_by_10_density/d15/graph37.lgbin,85,0.04958152770996094
38,random graphs/matuszewski/10_by_10_density/d15/graph38.lgbin,75,0.051786184310913086
39,random graphs/matuszewski/10_by_10_density/d15/graph39.lgbin,76,0.04890561103820801
40,random graphs/matuszewski/10_by_10_density/d15/graph40.lgbin,76,0.052572011947631836
41,random graphs/matuszewski/10_by_10_density/d15/graph41.lgbin,97,0.04483604431152344
42,random graphs/matuszewski/10_by_10_density/d15/graph42.lgbin,112,0.04823470115661621
43,random graphs/matuszewski/10_by_10_density/d15/graph43.lgbin,96,0.04857206344604492
44,random graphs/matuszewski/10_by_10_density/d15/graph44.lgbin,100,0.05025601387023926
45,random graphs/matuszewski/10_by_10_density/d15/graph45.lgbin,92,0.047664642333984375
46,random graphs/matuszewski/10_by_10_density/d15/graph46.lgbin,85,0.047673940658569336
47,random graphs/matuszewski/10_by_10_density/d15/graph47.lgbin,82,0.04886293411254883
48,random graphs/matuszewski/10_by_10_density/d15/graph48.lgbin,100,0.04836726188659668
49,random graphs/matuszewski/10_by_10_density/d15/graph49.lgbin,98,0.04942798614501953
50,random graphs/matuszewski/10_by_10_density/d15/graph50.lgbin,94,0.04755830764770508
51,random graphs/matuszewski/10_by_10_density/d15/graph51.lgbin,89,0.05040383338928223
52,random graphs/matuszewski/10_by_10_density/d15/graph52.lgbin,78,0.04845714569091797
53,random graphs/matuszewski/10_by_10_density/d15/graph53.lgbin,76,0.05445146560668945
54,random graphs/matuszewski/10_by_10_density/d15/graph54.lgbin,79,0.046675920486450195
55,random graphs/matuszewski/10_by_10_density/d15/graph55.lgbin,106,0.048162221908569336
56,random graphs/matuszewski/10_by_10_density/d15/graph56.lgbin,91,0.046456098556518555
57,random graphs/matuszewski/10_by_10_density/d15/graph57.lgbin,80,0.046704769134521484
58,random graphs/matuszewski/10_by_10_density/d15/graph58.lgbin,107,0.049126625061035156
59,random graphs/matuszewski/10_by_10_density/d15/graph59.lgbin,95,0.04980659484863281
60,random graphs/matuszewski/10_by_10_density/d15/graph60.lgbin,68,0.04617500305175781
61,random graphs/matuszewski/10_by_10_density/d15/graph61.lgbin,74,0.047486305236816406
62,random graphs/matuszewski/10_by_10_density/d15/graph62.lgbin,91,0.047838687896728516
63,random graphs/matuszewski/10_by_10_density/d15/graph63.lgbin,86,0.04885530471801758
64,random graphs/matuszewski/10_by_10_density/d15/graph64.lgbin,81,0.05576801300048828
65,random graphs/matuszewski/10_by_10_density/d15/graph65.lgbin,88,0.05206704139709473
66,random graphs/matuszewski/10_by_10_density/d15/graph66.lgbin,85,0.04604053497314453
67,random graphs/matuszewski/10_by_10_density/d15/graph67.lgbin,93,0.05261588096618652
68,random graphs/matuszewski/10_by_10_density/d15/graph68.lgbin,82,0.049813270568847656
69,random graphs/matuszewski/10_by_10_density/d15/graph69.lgbin,93,0.04922199249267578
70,random graphs/matuszewski/10_by_10_density/d15/graph70.lgbin,101,0.0489194393157959
71,random graphs/matuszewski/10_by_10_density/d15/graph71.lgbin,98,0.05486345291137695
