Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,117,0.0308992862701416
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,89,0.03313946723937988
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,105,0.030489683151245117
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,90,0.032410621643066406
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,119,0.03229236602783203
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,96,0.03375649452209473
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,106,0.032126665115356445
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,95,0.033437252044677734
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,103,0.03415703773498535
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,119,0.03209066390991211
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,83,0.03176593780517578
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,112,0.031213998794555664
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,113,0.03049445152282715
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,104,0.031216144561767578
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,101,0.03530550003051758
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,89,0.030428647994995117
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,125,0.03502607345581055
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,72,0.026880502700805664
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,101,0.02894425392150879
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,123,0.03092503547668457
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,101,0.03987455368041992
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,89,0.03246283531188965
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,112,0.03321385383605957
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,113,0.03031635284423828
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,106,0.03185772895812988
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,98,0.029442548751831055
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,116,0.030009031295776367
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,113,0.0321652889251709
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,105,0.030562162399291992
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,103,0.03326749801635742
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,90,0.03206825256347656
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,94,0.031143665313720703
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,103,0.03193473815917969
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,97,0.029828310012817383
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,126,0.03522658348083496
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,157,0.038495779037475586
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,92,0.031029701232910156
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,104,0.03165769577026367
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,91,0.03079056739807129
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,100,0.0348973274230957
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,100,0.032622337341308594
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,101,0.029893875122070312
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,103,0.031528472900390625
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,137,0.0299530029296875
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,99,0.030361413955688477
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,87,0.029416322708129883
46,random graphs/matuszewski/5_by_n/n10/graph46.lgbin,107,0.02999734878540039
47,random graphs/matuszewski/5_by_n/n10/graph47.lgbin,108,0.032976627349853516
48,random graphs/matuszewski/5_by_n/n10/graph48.lgbin,81,0.03316378593444824
49,random graphs/matuszewski/5_by_n/n10/graph49.lgbin,160,0.033514976501464844
50,random graphs/matuszewski/5_by_n/n10/graph50.lgbin,104,0.03243875503540039
51,random graphs/matuszewski/5_by_n/n10/graph51.lgbin,117,0.03043961524963379
52,random graphs/matuszewski/5_by_n/n10/graph52.lgbin,105,0.029597043991088867
53,random graphs/matuszewski/5_by_n/n10/graph53.lgbin,116,0.029729366302490234
54,random graphs/matuszewski/5_by_n/n10/graph54.lgbin,135,0.03029465675354004
55,random graphs/matuszewski/5_by_n/n10/graph55.lgbin,107,0.03174996376037598
56,random graphs/matuszewski/5_by_n/n10/graph56.lgbin,112,0.03165173530578613
57,random graphs/matuszewski/5_by_n/n10/graph57.lgbin,110,0.03178691864013672
58,random graphs/matuszewski/5_by_n/n10/graph58.lgbin,109,0.03126406669616699
59,random graphs/matuszewski/5_by_n/n10/graph59.lgbin,101,0.03186535835266113
60,random graphs/matuszewski/5_by_n/n10/graph60.lgbin,99,0.03185725212097168
61,random graphs/matuszewski/5_by_n/n10/graph61.lgbin,93,0.03235149383544922
62,random graphs/matuszewski/5_by_n/n10/graph62.lgbin,100,0.035249948501586914
63,random graphs/matuszewski/5_by_n/n10/graph63.lgbin,88,0.029582977294921875
64,random graphs/matuszewski/5_by_n/n10/graph64.lgbin,110,0.03110504150390625
65,random graphs/matuszewski/5_by_n/n10/graph65.lgbin,94,0.02929067611694336
66,random graphs/matuszewski/5_by_n/n10/graph66.lgbin,105,0.03415393829345703
