Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,21,0.007252693176269531
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,10,0.0070705413818359375
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,4,0.006964206695556641
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,9,0.007048368453979492
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,4,0.007112979888916016
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,6,0.006923675537109375
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,14,0.0071375370025634766
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,10,0.007098674774169922
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,7,0.007087230682373047
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,8,0.007103681564331055
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,11,0.0071141719818115234
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,6,0.007232666015625
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,16,0.007219552993774414
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,12,0.007088899612426758
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,8,0.0069942474365234375
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,7,0.007232189178466797
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,10,0.007086992263793945
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,9,0.007131814956665039
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,18,0.007286548614501953
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,12,0.007028341293334961
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,7,0.009891271591186523
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,16,0.0071582794189453125
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,3,0.0070192813873291016
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,3,0.007075786590576172
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,10,0.007123470306396484
