Index,File,Crossings,Runtime
0,random graphs/matuszewski/10_by_10_density/d15/graph0.lgbin,197,0.06236433982849121
1,random graphs/matuszewski/10_by_10_density/d15/graph1.lgbin,209,0.09183001518249512
2,random graphs/matuszewski/10_by_10_density/d15/graph2.lgbin,187,0.03904581069946289
3,random graphs/matuszewski/10_by_10_density/d15/graph3.lgbin,171,0.04220318794250488
4,random graphs/matuszewski/10_by_10_density/d15/graph4.lgbin,216,0.0460667610168457
5,random graphs/matuszewski/10_by_10_density/d15/graph5.lgbin,152,0.04088473320007324
6,random graphs/matuszewski/10_by_10_density/d15/graph6.lgbin,178,0.03765606880187988
7,random graphs/matuszewski/10_by_10_density/d15/graph7.lgbin,193,0.06981635093688965
8,random graphs/matuszewski/10_by_10_density/d15/graph8.lgbin,191,0.030722856521606445
9,random graphs/matuszewski/10_by_10_density/d15/graph9.lgbin,194,0.04208970069885254
10,random graphs/matuszewski/10_by_10_density/d15/graph10.lgbin,197,0.045950889587402344
11,random graphs/matuszewski/10_by_10_density/d15/graph11.lgbin,180,0.06857037544250488
12,random graphs/matuszewski/10_by_10_density/d15/graph12.lgbin,189,0.023792505264282227
13,random graphs/matuszewski/10_by_10_density/d15/graph13.lgbin,218,0.049962520599365234
14,random graphs/matuszewski/10_by_10_density/d15/graph14.lgbin,216,0.024556636810302734
15,random graphs/matuszewski/10_by_10_density/d15/graph15.lgbin,207,0.09685683250427246
16,random graphs/matuszewski/10_by_10_density/d15/graph16.lgbin,186,0.030687808990478516
17,random graphs/matuszewski/10_by_10_density/d15/graph17.lgbin,240,0.04061746597290039
18,random graphs/matuszewski/10_by_10_density/d15/graph18.lgbin,220,0.020943880081176758
19,random graphs/matuszewski/10_by_10_density/d15/graph19.lgbin,185,0.030390024185180664
20,random graphs/matuszewski/10_by_10_density/d15/graph20.lgbin,201,0.0579686164855957
21,random graphs/matuszewski/10_by_10_density/d15/graph21.lgbin,211,0.040996551513671875
22,random graphs/matuszewski/10_by_10_density/d15/graph22.lgbin,228,0.02095627784729004
23,random graphs/matuszewski/10_by_10_density/d15/graph23.lgbin,217,0.018237829208374023
