Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,276,0.010887622833251953
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,178,0.007464408874511719
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,224,0.008431673049926758
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,206,0.0068857669830322266
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,306,0.0061228275299072266
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,270,0.006654500961303711
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,249,0.01147150993347168
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,245,0.01602005958557129
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,235,0.005972385406494141
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,232,0.00580596923828125
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,258,0.007327079772949219
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,260,0.009393930435180664
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,189,0.008417367935180664
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,256,0.008747100830078125
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,298,0.00899052619934082
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,223,0.006532430648803711
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,246,0.014151811599731445
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,219,0.007271528244018555
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,264,0.012104034423828125
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,285,0.006901264190673828
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,281,0.007216691970825195
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,172,0.006406068801879883
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,275,0.008918523788452148
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,279,0.011670351028442383
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,237,0.008102178573608398
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,225,0.006655693054199219
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,223,0.006586313247680664
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,190,0.011255502700805664
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,254,0.008187294006347656
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,184,0.019130229949951172
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,187,0.008339643478393555
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,184,0.017464637756347656
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,211,0.00921487808227539
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,234,0.00988912582397461
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,278,0.008896827697753906
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,337,0.00997781753540039
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,248,0.008560657501220703
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,207,0.0075206756591796875
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,202,0.008721113204956055
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,228,0.006678342819213867
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,245,0.007627010345458984
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,252,0.012024879455566406
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,256,0.008444786071777344
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,257,0.007042884826660156
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,215,0.01515960693359375
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,214,0.0064144134521484375
46,random graphs/matuszewski/5_by_n/n10/graph46.lgbin,240,0.008162260055541992
47,random graphs/matuszewski/5_by_n/n10/graph47.lgbin,274,0.018993616104125977
48,random graphs/matuszewski/5_by_n/n10/graph48.lgbin,230,0.010113954544067383
49,random graphs/matuszewski/5_by_n/n10/graph49.lgbin,258,0.012337684631347656
50,random graphs/matuszewski/5_by_n/n10/graph50.lgbin,198,0.008307933807373047
51,random graphs/matuszewski/5_by_n/n10/graph51.lgbin,178,0.007189035415649414
52,random graphs/matuszewski/5_by_n/n10/graph52.lgbin,220,0.015299081802368164
53,random graphs/matuszewski/5_by_n/n10/graph53.lgbin,287,0.010402202606201172
54,random graphs/matuszewski/5_by_n/n10/graph54.lgbin,236,0.009683847427368164
55,random graphs/matuszewski/5_by_n/n10/graph55.lgbin,276,0.011130094528198242
56,random graphs/matuszewski/5_by_n/n10/graph56.lgbin,210,0.007497072219848633
57,random graphs/matuszewski/5_by_n/n10/graph57.lgbin,263,0.009923696517944336
58,random graphs/matuszewski/5_by_n/n10/graph58.lgbin,287,0.009307861328125
59,random graphs/matuszewski/5_by_n/n10/graph59.lgbin,246,0.0057833194732666016
60,random graphs/matuszewski/5_by_n/n10/graph60.lgbin,224,0.008391141891479492
61,random graphs/matuszewski/5_by_n/n10/graph61.lgbin,249,0.009194612503051758
62,random graphs/matuszewski/5_by_n/n10/graph62.lgbin,216,0.0072591304779052734
63,random graphs/matuszewski/5_by_n/n10/graph63.lgbin,243,0.009010553359985352
64,random graphs/matuszewski/5_by_n/n10/graph64.lgbin,274,0.005978584289550781
65,random graphs/matuszewski/5_by_n/n10/graph65.lgbin,191,0.0101318359375
66,random graphs/matuszewski/5_by_n/n10/graph66.lgbin,229,0.009814977645874023
67,random graphs/matuszewski/5_by_n/n10/graph67.lgbin,221,0.007527589797973633
68,random graphs/matuszewski/5_by_n/n10/graph68.lgbin,172,0.008151769638061523
69,random graphs/matuszewski/5_by_n/n10/graph69.lgbin,258,0.008623123168945312
70,random graphs/matuszewski/5_by_n/n10/graph70.lgbin,231,0.011179447174072266
71,random graphs/matuszewski/5_by_n/n10/graph71.lgbin,237,0.008251667022705078
72,random graphs/matuszewski/5_by_n/n10/graph72.lgbin,212,0.005620241165161133
73,random graphs/matuszewski/5_by_n/n10/graph73.lgbin,261,0.006863117218017578
74,random graphs/matuszewski/5_by_n/n10/graph74.lgbin,219,0.015152931213378906
75,random graphs/matuszewski/5_by_n/n10/graph75.lgbin,226,0.013129711151123047
76,random graphs/matuszewski/5_by_n/n10/graph76.lgbin,253,0.009098291397094727
77,random graphs/matuszewski/5_by_n/n10/graph77.lgbin,221,0.00781869888305664
78,random graphs/matuszewski/5_by_n/n10/graph78.lgbin,218,0.008249282836914062
79,random graphs/matuszewski/5_by_n/n10/graph79.lgbin,248,0.008465766906738281
