Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,77,0.0003483295440673828
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,107,0.000354766845703125
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,101,0.0003807544708251953
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,85,0.0003514289855957031
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,82,0.00035190582275390625
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,79,0.0003514289855957031
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,47,0.00036787986755371094
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,86,0.0003561973571777344
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,87,0.0003402233123779297
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,98,0.00036716461181640625
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,88,0.0003490447998046875
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,104,0.0003604888916015625
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,81,0.0003516674041748047
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,83,0.0003497600555419922
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,78,0.00035190582275390625
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,95,0.0003528594970703125
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,103,0.0003490447998046875
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,66,0.00034689903259277344
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,71,0.00035834312438964844
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,71,0.00034928321838378906
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,76,0.00035643577575683594
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,59,0.00034880638122558594
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,79,0.0003600120544433594
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,79,0.00035190582275390625
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,76,0.0003514289855957031
25,random graphs/matuszewski/k_by_10/k2/graph25.lgbin,76,0.00034689903259277344
26,random graphs/matuszewski/k_by_10/k2/graph26.lgbin,71,0.0003635883331298828
27,random graphs/matuszewski/k_by_10/k2/graph27.lgbin,68,0.0003604888916015625
28,random graphs/matuszewski/k_by_10/k2/graph28.lgbin,48,0.00035262107849121094
