Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,136,0.03153538703918457
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,167,0.031055450439453125
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,112,0.03229331970214844
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,172,0.032166481018066406
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,159,0.03302931785583496
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,151,0.03143477439880371
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,160,0.03279232978820801
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,171,0.031525373458862305
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,210,0.03194141387939453
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,157,0.03131866455078125
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,188,0.031043052673339844
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,202,0.03171396255493164
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,155,0.0308530330657959
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,212,0.0330967903137207
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,208,0.03377962112426758
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,156,0.031026363372802734
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,202,0.03287768363952637
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,153,0.030666828155517578
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,158,0.03194165229797363
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,179,0.03193354606628418
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,196,0.03328514099121094
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,150,0.030066728591918945
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,191,0.03298544883728027
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,153,0.03174328804016113
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,169,0.030568599700927734
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,143,0.03136157989501953
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,156,0.031206846237182617
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,161,0.03221583366394043
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,181,0.03143453598022461
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,118,0.03182649612426758
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,185,0.03184914588928223
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,171,0.03126931190490723
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,135,0.03185701370239258
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,177,0.0312955379486084
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,182,0.03321981430053711
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,191,0.036772966384887695
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,140,0.031767845153808594
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,145,0.030979394912719727
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,179,0.03253006935119629
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,175,0.03134489059448242
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,147,0.031348228454589844
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,180,0.031655311584472656
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,195,0.031623125076293945
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,139,0.03266406059265137
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,162,0.030423641204833984
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,123,0.030643224716186523
46,random graphs/matuszewski/5_by_n/n10/graph46.lgbin,185,0.03127765655517578
47,random graphs/matuszewski/5_by_n/n10/graph47.lgbin,202,0.03377079963684082
48,random graphs/matuszewski/5_by_n/n10/graph48.lgbin,137,0.031456947326660156
49,random graphs/matuszewski/5_by_n/n10/graph49.lgbin,132,0.03278207778930664
50,random graphs/matuszewski/5_by_n/n10/graph50.lgbin,160,0.03175187110900879
51,random graphs/matuszewski/5_by_n/n10/graph51.lgbin,131,0.030980587005615234
52,random graphs/matuszewski/5_by_n/n10/graph52.lgbin,163,0.0317535400390625
53,random graphs/matuszewski/5_by_n/n10/graph53.lgbin,160,0.032434701919555664
54,random graphs/matuszewski/5_by_n/n10/graph54.lgbin,175,0.03223848342895508
55,random graphs/matuszewski/5_by_n/n10/graph55.lgbin,179,0.03204178810119629
56,random graphs/matuszewski/5_by_n/n10/graph56.lgbin,177,0.030762195587158203
57,random graphs/matuszewski/5_by_n/n10/graph57.lgbin,218,0.031655073165893555
58,random graphs/matuszewski/5_by_n/n10/graph58.lgbin,147,0.03185248374938965
59,random graphs/matuszewski/5_by_n/n10/graph59.lgbin,130,0.03152060508728027
60,random graphs/matuszewski/5_by_n/n10/graph60.lgbin,143,0.031435489654541016
61,random graphs/matuszewski/5_by_n/n10/graph61.lgbin,166,0.03141975402832031
62,random graphs/matuszewski/5_by_n/n10/graph62.lgbin,120,0.030828237533569336
63,random graphs/matuszewski/5_by_n/n10/graph63.lgbin,186,0.030577421188354492
64,random graphs/matuszewski/5_by_n/n10/graph64.lgbin,169,0.03193306922912598
65,random graphs/matuszewski/5_by_n/n10/graph65.lgbin,155,0.030843496322631836
66,random graphs/matuszewski/5_by_n/n10/graph66.lgbin,164,0.031487226486206055
67,random graphs/matuszewski/5_by_n/n10/graph67.lgbin,160,0.03179621696472168
68,random graphs/matuszewski/5_by_n/n10/graph68.lgbin,148,0.03057551383972168
69,random graphs/matuszewski/5_by_n/n10/graph69.lgbin,158,0.032476186752319336
70,random graphs/matuszewski/5_by_n/n10/graph70.lgbin,170,0.03239798545837402
71,random graphs/matuszewski/5_by_n/n10/graph71.lgbin,171,0.031343936920166016
72,random graphs/matuszewski/5_by_n/n10/graph72.lgbin,132,0.03058624267578125
73,random graphs/matuszewski/5_by_n/n10/graph73.lgbin,190,0.031296491622924805
74,random graphs/matuszewski/5_by_n/n10/graph74.lgbin,183,0.03306102752685547
75,random graphs/matuszewski/5_by_n/n10/graph75.lgbin,149,0.03246808052062988
76,random graphs/matuszewski/5_by_n/n10/graph76.lgbin,228,0.0334017276763916
77,random graphs/matuszewski/5_by_n/n10/graph77.lgbin,178,0.03236651420593262
78,random graphs/matuszewski/5_by_n/n10/graph78.lgbin,166,0.031092166900634766
79,random graphs/matuszewski/5_by_n/n10/graph79.lgbin,192,0.03178763389587402
80,random graphs/matuszewski/5_by_n/n10/graph80.lgbin,170,0.03243589401245117
81,random graphs/matuszewski/5_by_n/n10/graph81.lgbin,150,0.03257012367248535
82,random graphs/matuszewski/5_by_n/n10/graph82.lgbin,135,0.0310513973236084
83,random graphs/matuszewski/5_by_n/n10/graph83.lgbin,150,0.03166007995605469
84,random graphs/matuszewski/5_by_n/n10/graph84.lgbin,209,0.030824661254882812
85,random graphs/matuszewski/5_by_n/n10/graph85.lgbin,150,0.03304147720336914
86,random graphs/matuszewski/5_by_n/n10/graph86.lgbin,173,0.030940771102905273
87,random graphs/matuszewski/5_by_n/n10/graph87.lgbin,103,0.0310671329498291
88,random graphs/matuszewski/5_by_n/n10/graph88.lgbin,158,0.03130459785461426
89,random graphs/matuszewski/5_by_n/n10/graph89.lgbin,207,0.03147482872009277
90,random graphs/matuszewski/5_by_n/n10/graph90.lgbin,120,0.03193306922912598
91,random graphs/matuszewski/5_by_n/n10/graph91.lgbin,173,0.03070235252380371
92,random graphs/matuszewski/5_by_n/n10/graph92.lgbin,169,0.031549930572509766
93,random graphs/matuszewski/5_by_n/n10/graph93.lgbin,162,0.030944108963012695
94,random graphs/matuszewski/5_by_n/n10/graph94.lgbin,154,0.031737565994262695
95,random graphs/matuszewski/5_by_n/n10/graph95.lgbin,184,0.03057122230529785
96,random graphs/matuszewski/5_by_n/n10/graph96.lgbin,166,0.031155824661254883
97,random graphs/matuszewski/5_by_n/n10/graph97.lgbin,164,0.03413033485412598
98,random graphs/matuszewski/5_by_n/n10/graph98.lgbin,137,0.03223538398742676
99,random graphs/matuszewski/5_by_n/n10/graph99.lgbin,197,0.03302788734436035
100,random graphs/matuszewski/5_by_n/n20/graph0.lgbin,879,0.1344292163848877
101,random graphs/matuszewski/5_by_n/n20/graph1.lgbin,727,0.13143038749694824
102,random graphs/matuszewski/5_by_n/n20/graph2.lgbin,895,0.13125085830688477
103,random graphs/matuszewski/5_by_n/n20/graph3.lgbin,915,0.13112854957580566
104,random graphs/matuszewski/5_by_n/n20/graph4.lgbin,837,0.12934541702270508
105,random graphs/matuszewski/5_by_n/n20/graph5.lgbin,727,0.12845873832702637
106,random graphs/matuszewski/5_by_n/n20/graph6.lgbin,848,0.1280193328857422
107,random graphs/matuszewski/5_by_n/n20/graph7.lgbin,738,0.13014698028564453
108,random graphs/matuszewski/5_by_n/n20/graph8.lgbin,860,0.12835001945495605
109,random graphs/matuszewski/5_by_n/n20/graph9.lgbin,868,0.134596586227417
110,random graphs/matuszewski/5_by_n/n20/graph10.lgbin,868,0.13086247444152832
111,random graphs/matuszewski/5_by_n/n20/graph11.lgbin,939,0.1375596523284912
112,random graphs/matuszewski/5_by_n/n20/graph12.lgbin,851,0.1352841854095459
113,random graphs/matuszewski/5_by_n/n20/graph13.lgbin,926,0.13676095008850098
114,random graphs/matuszewski/5_by_n/n20/graph14.lgbin,869,0.12987041473388672
115,random graphs/matuszewski/5_by_n/n20/graph15.lgbin,827,0.1350724697113037
116,random graphs/matuszewski/5_by_n/n20/graph16.lgbin,849,0.1313481330871582
117,random graphs/matuszewski/5_by_n/n20/graph17.lgbin,682,0.1351473331451416
118,random graphs/matuszewski/5_by_n/n20/graph18.lgbin,770,0.12872004508972168
119,random graphs/matuszewski/5_by_n/n20/graph19.lgbin,753,0.12588143348693848
120,random graphs/matuszewski/5_by_n/n20/graph20.lgbin,917,0.1335151195526123
121,random graphs/matuszewski/5_by_n/n20/graph21.lgbin,916,0.12846040725708008
122,random graphs/matuszewski/5_by_n/n20/graph22.lgbin,780,0.13383889198303223
123,random graphs/matuszewski/5_by_n/n20/graph23.lgbin,813,0.13668155670166016
124,random graphs/matuszewski/5_by_n/n20/graph24.lgbin,797,0.13021421432495117
125,random graphs/matuszewski/5_by_n/n20/graph25.lgbin,663,0.13084864616394043
126,random graphs/matuszewski/5_by_n/n20/graph26.lgbin,878,0.1288590431213379
127,random graphs/matuszewski/5_by_n/n20/graph27.lgbin,773,0.12848544120788574
128,random graphs/matuszewski/5_by_n/n20/graph28.lgbin,710,0.12969708442687988
129,random graphs/matuszewski/5_by_n/n20/graph29.lgbin,835,0.12703442573547363
130,random graphs/matuszewski/5_by_n/n20/graph30.lgbin,803,0.12983965873718262
131,random graphs/matuszewski/5_by_n/n20/graph31.lgbin,801,0.13178777694702148
132,random graphs/matuszewski/5_by_n/n20/graph32.lgbin,955,0.13081121444702148
133,random graphs/matuszewski/5_by_n/n20/graph33.lgbin,757,0.1332709789276123
134,random graphs/matuszewski/5_by_n/n20/graph34.lgbin,647,0.12854909896850586
135,random graphs/matuszewski/5_by_n/n20/graph35.lgbin,681,0.1261608600616455
136,random graphs/matuszewski/5_by_n/n20/graph36.lgbin,794,0.12986016273498535
137,random graphs/matuszewski/5_by_n/n20/graph37.lgbin,901,0.13363170623779297
138,random graphs/matuszewski/5_by_n/n20/graph38.lgbin,889,0.13719868659973145
139,random graphs/matuszewski/5_by_n/n20/graph39.lgbin,849,0.13057613372802734
140,random graphs/matuszewski/5_by_n/n20/graph40.lgbin,770,0.1290442943572998
141,random graphs/matuszewski/5_by_n/n20/graph41.lgbin,677,0.13042330741882324
142,random graphs/matuszewski/5_by_n/n20/graph42.lgbin,765,0.13173413276672363
143,random graphs/matuszewski/5_by_n/n20/graph43.lgbin,708,0.13054704666137695
144,random graphs/matuszewski/5_by_n/n20/graph44.lgbin,766,0.13257217407226562
145,random graphs/matuszewski/5_by_n/n20/graph45.lgbin,959,0.12929773330688477
146,random graphs/matuszewski/5_by_n/n20/graph46.lgbin,780,0.12897324562072754
147,random graphs/matuszewski/5_by_n/n20/graph47.lgbin,806,0.1369185447692871
148,random graphs/matuszewski/5_by_n/n20/graph48.lgbin,754,0.13008952140808105
149,random graphs/matuszewski/5_by_n/n20/graph49.lgbin,794,0.12827134132385254
150,random graphs/matuszewski/5_by_n/n20/graph50.lgbin,803,0.1300065517425537
151,random graphs/matuszewski/5_by_n/n20/graph51.lgbin,828,0.12647223472595215
152,random graphs/matuszewski/5_by_n/n20/graph52.lgbin,872,0.1276106834411621
153,random graphs/matuszewski/5_by_n/n20/graph53.lgbin,734,0.13389062881469727
154,random graphs/matuszewski/5_by_n/n20/graph54.lgbin,770,0.13503575325012207
155,random graphs/matuszewski/5_by_n/n20/graph55.lgbin,812,0.13069391250610352
156,random graphs/matuszewski/5_by_n/n20/graph56.lgbin,891,0.1328589916229248
157,random graphs/matuszewski/5_by_n/n20/graph57.lgbin,926,0.12697601318359375
158,random graphs/matuszewski/5_by_n/n20/graph58.lgbin,887,0.12773346900939941
159,random graphs/matuszewski/5_by_n/n20/graph59.lgbin,1024,0.13559484481811523
160,random graphs/matuszewski/5_by_n/n20/graph60.lgbin,940,0.13398003578186035
161,random graphs/matuszewski/5_by_n/n20/graph61.lgbin,874,0.13304519653320312
162,random graphs/matuszewski/5_by_n/n20/graph62.lgbin,646,0.13184356689453125
163,random graphs/matuszewski/5_by_n/n20/graph63.lgbin,795,0.12599992752075195
164,random graphs/matuszewski/5_by_n/n20/graph64.lgbin,849,0.13881874084472656
165,random graphs/matuszewski/5_by_n/n20/graph65.lgbin,811,0.12894177436828613
166,random graphs/matuszewski/5_by_n/n20/graph66.lgbin,722,0.1277756690979004
167,random graphs/matuszewski/5_by_n/n20/graph67.lgbin,907,0.13185405731201172
168,random graphs/matuszewski/5_by_n/n20/graph68.lgbin,869,0.13135647773742676
169,random graphs/matuszewski/5_by_n/n20/graph69.lgbin,930,0.13526344299316406
170,random graphs/matuszewski/5_by_n/n20/graph70.lgbin,880,0.13517403602600098
