Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,22,0.007580995559692383
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,38,0.0075969696044921875
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,44,0.007477998733520508
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,14,0.007447957992553711
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,16,0.007523536682128906
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,17,0.0073850154876708984
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,18,0.007752895355224609
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,29,0.007783651351928711
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,26,0.007596015930175781
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,23,0.007737398147583008
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,18,0.0075571537017822266
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,21,0.007608890533447266
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,25,0.007430315017700195
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,36,0.007612466812133789
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,12,0.00737762451171875
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,19,0.007378816604614258
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,35,0.0075130462646484375
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,17,0.0074920654296875
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,7,0.007586002349853516
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,8,0.0074961185455322266
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,11,0.00765681266784668
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,31,0.0074617862701416016
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,21,0.007674694061279297
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,13,0.007531642913818359
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,21,0.007653713226318359
25,random graphs/matuszewski/k_by_10/k2/graph25.lgbin,29,0.007503032684326172
26,random graphs/matuszewski/k_by_10/k2/graph26.lgbin,27,0.0075495243072509766
27,random graphs/matuszewski/k_by_10/k2/graph27.lgbin,36,0.0076334476470947266
28,random graphs/matuszewski/k_by_10/k2/graph28.lgbin,18,0.007538557052612305
29,random graphs/matuszewski/k_by_10/k2/graph29.lgbin,30,0.00741124153137207
30,random graphs/matuszewski/k_by_10/k2/graph30.lgbin,15,0.007642269134521484
31,random graphs/matuszewski/k_by_10/k2/graph31.lgbin,16,0.007618427276611328
32,random graphs/matuszewski/k_by_10/k2/graph32.lgbin,23,0.007647514343261719
33,random graphs/matuszewski/k_by_10/k2/graph33.lgbin,13,0.007603645324707031
34,random graphs/matuszewski/k_by_10/k2/graph34.lgbin,20,0.007765769958496094
35,random graphs/matuszewski/k_by_10/k2/graph35.lgbin,10,0.0076141357421875
36,random graphs/matuszewski/k_by_10/k2/graph36.lgbin,13,0.0076105594635009766
37,random graphs/matuszewski/k_by_10/k2/graph37.lgbin,16,0.007847309112548828
38,random graphs/matuszewski/k_by_10/k2/graph38.lgbin,22,0.007858037948608398
39,random graphs/matuszewski/k_by_10/k2/graph39.lgbin,36,0.0076215267181396484
40,random graphs/matuszewski/k_by_10/k2/graph40.lgbin,24,0.007621049880981445
41,random graphs/matuszewski/k_by_10/k2/graph41.lgbin,20,0.007563352584838867
42,random graphs/matuszewski/k_by_10/k2/graph42.lgbin,33,0.007543802261352539
43,random graphs/matuszewski/k_by_10/k2/graph43.lgbin,41,0.007467508316040039
44,random graphs/matuszewski/k_by_10/k2/graph44.lgbin,11,0.0075495243072509766
45,random graphs/matuszewski/k_by_10/k2/graph45.lgbin,23,0.007517099380493164
46,random graphs/matuszewski/k_by_10/k2/graph46.lgbin,33,0.007658958435058594
47,random graphs/matuszewski/k_by_10/k2/graph47.lgbin,17,0.007519960403442383
48,random graphs/matuszewski/k_by_10/k2/graph48.lgbin,16,0.007601261138916016
49,random graphs/matuszewski/k_by_10/k2/graph49.lgbin,29,0.007380485534667969
50,random graphs/matuszewski/k_by_10/k2/graph50.lgbin,15,0.0075147151947021484
51,random graphs/matuszewski/k_by_10/k2/graph51.lgbin,26,0.0075473785400390625
52,random graphs/matuszewski/k_by_10/k2/graph52.lgbin,27,0.007428407669067383
53,random graphs/matuszewski/k_by_10/k2/graph53.lgbin,30,0.007500410079956055
54,random graphs/matuszewski/k_by_10/k2/graph54.lgbin,33,0.007465839385986328
55,random graphs/matuszewski/k_by_10/k2/graph55.lgbin,28,0.007558107376098633
56,random graphs/matuszewski/k_by_10/k2/graph56.lgbin,22,0.007514238357543945
57,random graphs/matuszewski/k_by_10/k2/graph57.lgbin,12,0.007703542709350586
58,random graphs/matuszewski/k_by_10/k2/graph58.lgbin,8,0.007536172866821289
59,random graphs/matuszewski/k_by_10/k2/graph59.lgbin,22,0.007470607757568359
60,random graphs/matuszewski/k_by_10/k2/graph60.lgbin,13,0.007657527923583984
61,random graphs/matuszewski/k_by_10/k2/graph61.lgbin,15,0.007544755935668945
62,random graphs/matuszewski/k_by_10/k2/graph62.lgbin,20,0.007639884948730469
63,random graphs/matuszewski/k_by_10/k2/graph63.lgbin,17,0.007566213607788086
64,random graphs/matuszewski/k_by_10/k2/graph64.lgbin,27,0.007403373718261719
65,random graphs/matuszewski/k_by_10/k2/graph65.lgbin,20,0.007443904876708984
66,random graphs/matuszewski/k_by_10/k2/graph66.lgbin,29,0.007353782653808594
67,random graphs/matuszewski/k_by_10/k2/graph67.lgbin,19,0.007625102996826172
68,random graphs/matuszewski/k_by_10/k2/graph68.lgbin,54,0.0073010921478271484
69,random graphs/matuszewski/k_by_10/k2/graph69.lgbin,10,0.007490396499633789
70,random graphs/matuszewski/k_by_10/k2/graph70.lgbin,17,0.007536649703979492
71,random graphs/matuszewski/k_by_10/k2/graph71.lgbin,15,0.007589101791381836
72,random graphs/matuszewski/k_by_10/k2/graph72.lgbin,13,0.007522106170654297
73,random graphs/matuszewski/k_by_10/k2/graph73.lgbin,31,0.007497549057006836
74,random graphs/matuszewski/k_by_10/k2/graph74.lgbin,10,0.007397890090942383
