Index,File,Crossings,Runtime
0,random graphs/matuszewski/10_by_10_density/d15/graph0.lgbin,112,0.02249884605407715
1,random graphs/matuszewski/10_by_10_density/d15/graph1.lgbin,110,0.022321462631225586
2,random graphs/matuszewski/10_by_10_density/d15/graph2.lgbin,86,0.022150516510009766
3,random graphs/matuszewski/10_by_10_density/d15/graph3.lgbin,148,0.02243971824645996
4,random graphs/matuszewski/10_by_10_density/d15/graph4.lgbin,89,0.046362876892089844
5,random graphs/matuszewski/10_by_10_density/d15/graph5.lgbin,115,0.03682279586791992
6,random graphs/matuszewski/10_by_10_density/d15/graph6.lgbin,144,0.032918453216552734
7,random graphs/matuszewski/10_by_10_density/d15/graph7.lgbin,130,0.025983572006225586
8,random graphs/matuszewski/10_by_10_density/d15/graph8.lgbin,113,0.022467374801635742
9,random graphs/matuszewski/10_by_10_density/d15/graph9.lgbin,121,0.022820234298706055
10,random graphs/matuszewski/10_by_10_density/d15/graph10.lgbin,135,0.022142410278320312
11,random graphs/matuszewski/10_by_10_density/d15/graph11.lgbin,120,0.02233266830444336
12,random graphs/matuszewski/10_by_10_density/d15/graph12.lgbin,131,0.022600173950195312
13,random graphs/matuszewski/10_by_10_density/d15/graph13.lgbin,132,0.022415637969970703
14,random graphs/matuszewski/10_by_10_density/d15/graph14.lgbin,146,0.0222775936126709
15,random graphs/matuszewski/10_by_10_density/d15/graph15.lgbin,120,0.02252197265625
16,random graphs/matuszewski/10_by_10_density/d15/graph16.lgbin,98,0.022265195846557617
17,random graphs/matuszewski/10_by_10_density/d15/graph17.lgbin,122,0.022496461868286133
18,random graphs/matuszewski/10_by_10_density/d15/graph18.lgbin,133,0.022398710250854492
19,random graphs/matuszewski/10_by_10_density/d15/graph19.lgbin,115,0.022208690643310547
20,random graphs/matuszewski/10_by_10_density/d15/graph20.lgbin,125,0.022286653518676758
21,random graphs/matuszewski/10_by_10_density/d15/graph21.lgbin,120,0.022470474243164062
22,random graphs/matuszewski/10_by_10_density/d15/graph22.lgbin,126,0.02260899543762207
23,random graphs/matuszewski/10_by_10_density/d15/graph23.lgbin,98,0.022773027420043945
24,random graphs/matuszewski/10_by_10_density/d15/graph24.lgbin,101,0.022215604782104492
25,random graphs/matuszewski/10_by_10_density/d15/graph25.lgbin,137,0.022458553314208984
26,random graphs/matuszewski/10_by_10_density/d15/graph26.lgbin,140,0.022399425506591797
27,random graphs/matuszewski/10_by_10_density/d15/graph27.lgbin,148,0.02262258529663086
28,random graphs/matuszewski/10_by_10_density/d15/graph28.lgbin,125,0.022135257720947266
29,random graphs/matuszewski/10_by_10_density/d15/graph29.lgbin,110,0.02245926856994629
30,random graphs/matuszewski/10_by_10_density/d15/graph30.lgbin,99,0.022526025772094727
31,random graphs/matuszewski/10_by_10_density/d15/graph31.lgbin,150,0.022554636001586914
32,random graphs/matuszewski/10_by_10_density/d15/graph32.lgbin,105,0.022583723068237305
33,random graphs/matuszewski/10_by_10_density/d15/graph33.lgbin,113,0.0225832462310791
34,random graphs/matuszewski/10_by_10_density/d15/graph34.lgbin,124,0.02212047576904297
35,random graphs/matuszewski/10_by_10_density/d15/graph35.lgbin,107,0.022362947463989258
36,random graphs/matuszewski/10_by_10_density/d15/graph36.lgbin,121,0.022481203079223633
37,random graphs/matuszewski/10_by_10_density/d15/graph37.lgbin,105,0.02266097068786621
38,random graphs/matuszewski/10_by_10_density/d15/graph38.lgbin,119,0.022255659103393555
39,random graphs/matuszewski/10_by_10_density/d15/graph39.lgbin,134,0.022522449493408203
40,random graphs/matuszewski/10_by_10_density/d15/graph40.lgbin,97,0.02224254608154297
41,random graphs/matuszewski/10_by_10_density/d15/graph41.lgbin,133,0.022455215454101562
42,random graphs/matuszewski/10_by_10_density/d15/graph42.lgbin,133,0.02256035804748535
43,random graphs/matuszewski/10_by_10_density/d15/graph43.lgbin,118,0.022320985794067383
44,random graphs/matuszewski/10_by_10_density/d15/graph44.lgbin,124,0.022235631942749023
45,random graphs/matuszewski/10_by_10_density/d15/graph45.lgbin,111,0.02249431610107422
46,random graphs/matuszewski/10_by_10_density/d15/graph46.lgbin,99,0.022327423095703125
47,random graphs/matuszewski/10_by_10_density/d15/graph47.lgbin,118,0.022426843643188477
48,random graphs/matuszewski/10_by_10_density/d15/graph48.lgbin,166,0.023298978805541992
49,random graphs/matuszewski/10_by_10_density/d15/graph49.lgbin,107,0.02271866798400879
50,random graphs/matuszewski/10_by_10_density/d15/graph50.lgbin,144,0.022226572036743164
51,random graphs/matuszewski/10_by_10_density/d15/graph51.lgbin,112,0.022173166275024414
52,random graphs/matuszewski/10_by_10_density/d15/graph52.lgbin,105,0.022519588470458984
53,random graphs/matuszewski/10_by_10_density/d15/graph53.lgbin,113,0.02245330810546875
54,random graphs/matuszewski/10_by_10_density/d15/graph54.lgbin,124,0.02238917350769043
55,random graphs/matuszewski/10_by_10_density/d15/graph55.lgbin,143,0.022389650344848633
56,random graphs/matuszewski/10_by_10_density/d15/graph56.lgbin,98,0.022400856018066406
57,random graphs/matuszewski/10_by_10_density/d15/graph57.lgbin,91,0.022661447525024414
58,random graphs/matuszewski/10_by_10_density/d15/graph58.lgbin,142,0.022127389907836914
59,random graphs/matuszewski/10_by_10_density/d15/graph59.lgbin,113,0.022600889205932617
60,random graphs/matuszewski/10_by_10_density/d15/graph60.lgbin,115,0.022318363189697266
61,random graphs/matuszewski/10_by_10_density/d15/graph61.lgbin,107,0.02258586883544922
62,random graphs/matuszewski/10_by_10_density/d15/graph62.lgbin,131,0.022748708724975586
63,random graphs/matuszewski/10_by_10_density/d15/graph63.lgbin,97,0.022296428680419922
64,random graphs/matuszewski/10_by_10_density/d15/graph64.lgbin,106,0.022251605987548828
65,random graphs/matuszewski/10_by_10_density/d15/graph65.lgbin,103,0.022548913955688477
66,random graphs/matuszewski/10_by_10_density/d15/graph66.lgbin,110,0.0224459171295166
67,random graphs/matuszewski/10_by_10_density/d15/graph67.lgbin,146,0.02225661277770996
68,random graphs/matuszewski/10_by_10_density/d15/graph68.lgbin,144,0.02240729331970215
69,random graphs/matuszewski/10_by_10_density/d15/graph69.lgbin,145,0.022177696228027344
70,random graphs/matuszewski/10_by_10_density/d15/graph70.lgbin,132,0.022533655166625977
71,random graphs/matuszewski/10_by_10_density/d15/graph71.lgbin,109,0.022305011749267578
72,random graphs/matuszewski/10_by_10_density/d15/graph72.lgbin,135,0.022467613220214844
73,random graphs/matuszewski/10_by_10_density/d15/graph73.lgbin,102,0.022652626037597656
74,random graphs/matuszewski/10_by_10_density/d15/graph74.lgbin,119,0.022516250610351562
75,random graphs/matuszewski/10_by_10_density/d15/graph75.lgbin,130,0.022419452667236328
76,random graphs/matuszewski/10_by_10_density/d15/graph76.lgbin,100,0.022464275360107422
77,random graphs/matuszewski/10_by_10_density/d15/graph77.lgbin,109,0.022717714309692383
78,random graphs/matuszewski/10_by_10_density/d15/graph78.lgbin,129,0.022359848022460938
79,random graphs/matuszewski/10_by_10_density/d15/graph79.lgbin,102,0.022198200225830078
80,random graphs/matuszewski/10_by_10_density/d15/graph80.lgbin,102,0.022203445434570312
81,random graphs/matuszewski/10_by_10_density/d15/graph81.lgbin,106,0.022301435470581055
82,random graphs/matuszewski/10_by_10_density/d15/graph82.lgbin,122,0.022482872009277344
83,random graphs/matuszewski/10_by_10_density/d15/graph83.lgbin,112,0.02243351936340332
84,random graphs/matuszewski/10_by_10_density/d15/graph84.lgbin,113,0.022336483001708984
85,random graphs/matuszewski/10_by_10_density/d15/graph85.lgbin,108,0.02240777015686035
86,random graphs/matuszewski/10_by_10_density/d15/graph86.lgbin,98,0.022192955017089844
87,random graphs/matuszewski/10_by_10_density/d15/graph87.lgbin,135,0.022254467010498047
88,random graphs/matuszewski/10_by_10_density/d15/graph88.lgbin,123,0.022668838500976562
89,random graphs/matuszewski/10_by_10_density/d15/graph89.lgbin,121,0.022545814514160156
90,random graphs/matuszewski/10_by_10_density/d15/graph90.lgbin,121,0.02227044105529785
