Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,31,0.004229068756103516
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,29,0.004233598709106445
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,24,0.004412412643432617
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,21,0.004329204559326172
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,16,0.004315376281738281
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,27,0.0042438507080078125
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,21,0.0043866634368896484
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,29,0.004338979721069336
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,23,0.004361867904663086
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,25,0.004407167434692383
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,20,0.004285335540771484
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,25,0.0044384002685546875
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,22,0.004172086715698242
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,15,0.0043184757232666016
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,26,0.0042057037353515625
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,15,0.00429081916809082
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,16,0.004250049591064453
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,19,0.004336357116699219
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,21,0.0044023990631103516
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,12,0.004307985305786133
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,18,0.004405021667480469
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,13,0.0043561458587646484
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,22,0.0043544769287109375
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,16,0.0043125152587890625
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,20,0.0043408870697021484
25,random graphs/matuszewski/k_by_10/k2/graph25.lgbin,16,0.004204511642456055
26,random graphs/matuszewski/k_by_10/k2/graph26.lgbin,11,0.004296302795410156
27,random graphs/matuszewski/k_by_10/k2/graph27.lgbin,29,0.004284858703613281
