Index,File,Crossings,Runtime
0,random graphs/matuszewski/10_by_10_density/d15/graph0.lgbin,110,0.022034168243408203
1,random graphs/matuszewski/10_by_10_density/d15/graph1.lgbin,94,0.02192401885986328
2,random graphs/matuszewski/10_by_10_density/d15/graph2.lgbin,72,0.022336244583129883
3,random graphs/matuszewski/10_by_10_density/d15/graph3.lgbin,87,0.03571438789367676
4,random graphs/matuszewski/10_by_10_density/d15/graph4.lgbin,87,0.021474361419677734
5,random graphs/matuszewski/10_by_10_density/d15/graph5.lgbin,76,0.021882295608520508
6,random graphs/matuszewski/10_by_10_density/d15/graph6.lgbin,93,0.021701574325561523
7,random graphs/matuszewski/10_by_10_density/d15/graph7.lgbin,82,0.021848440170288086
8,random graphs/matuszewski/10_by_10_density/d15/graph8.lgbin,99,0.02157735824584961
9,random graphs/matuszewski/10_by_10_density/d15/graph9.lgbin,91,0.028795957565307617
10,random graphs/matuszewski/10_by_10_density/d15/graph10.lgbin,90,0.021516084671020508
11,random graphs/matuszewski/10_by_10_density/d15/graph11.lgbin,71,0.021416187286376953
12,random graphs/matuszewski/10_by_10_density/d15/graph12.lgbin,93,0.02858138084411621
13,random graphs/matuszewski/10_by_10_density/d15/graph13.lgbin,85,0.021774768829345703
14,random graphs/matuszewski/10_by_10_density/d15/graph14.lgbin,83,0.021847248077392578
15,random graphs/matuszewski/10_by_10_density/d15/graph15.lgbin,114,0.02149343490600586
16,random graphs/matuszewski/10_by_10_density/d15/graph16.lgbin,94,0.021320104598999023
17,random graphs/matuszewski/10_by_10_density/d15/graph17.lgbin,74,0.028555870056152344
18,random graphs/matuszewski/10_by_10_density/d15/graph18.lgbin,95,0.041600942611694336
19,random graphs/matuszewski/10_by_10_density/d15/graph19.lgbin,124,0.022028684616088867
20,random graphs/matuszewski/10_by_10_density/d15/graph20.lgbin,101,0.0349118709564209
21,random graphs/matuszewski/10_by_10_density/d15/graph21.lgbin,102,0.021782398223876953
22,random graphs/matuszewski/10_by_10_density/d15/graph22.lgbin,87,0.021360158920288086
23,random graphs/matuszewski/10_by_10_density/d15/graph23.lgbin,82,0.028338193893432617
24,random graphs/matuszewski/10_by_10_density/d15/graph24.lgbin,77,0.01446986198425293
25,random graphs/matuszewski/10_by_10_density/d15/graph25.lgbin,89,0.028302431106567383
26,random graphs/matuszewski/10_by_10_density/d15/graph26.lgbin,92,0.021930932998657227
27,random graphs/matuszewski/10_by_10_density/d15/graph27.lgbin,89,0.0214083194732666
28,random graphs/matuszewski/10_by_10_density/d15/graph28.lgbin,85,0.02149057388305664
29,random graphs/matuszewski/10_by_10_density/d15/graph29.lgbin,95,0.02136397361755371
30,random graphs/matuszewski/10_by_10_density/d15/graph30.lgbin,112,0.021622180938720703
31,random graphs/matuszewski/10_by_10_density/d15/graph31.lgbin,68,0.021779537200927734
32,random graphs/matuszewski/10_by_10_density/d15/graph32.lgbin,92,0.02802276611328125
33,random graphs/matuszewski/10_by_10_density/d15/graph33.lgbin,94,0.0214688777923584
34,random graphs/matuszewski/10_by_10_density/d15/graph34.lgbin,91,0.02127671241760254
35,random graphs/matuszewski/10_by_10_density/d15/graph35.lgbin,86,0.02864837646484375
36,random graphs/matuszewski/10_by_10_density/d15/graph36.lgbin,108,0.03527498245239258
