Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,105,0.0118865966796875
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,98,0.008263826370239258
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,114,0.012180805206298828
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,108,0.015813112258911133
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,125,0.012273550033569336
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,101,0.011855363845825195
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,119,0.011882781982421875
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,103,0.011948108673095703
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,117,0.01183319091796875
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,83,0.011960983276367188
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,116,0.011869430541992188
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,114,0.008269786834716797
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,113,0.019413232803344727
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,87,0.019937753677368164
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,106,0.016207456588745117
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,98,0.008083343505859375
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,123,0.019705533981323242
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,100,0.011824369430541992
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,99,0.01576089859008789
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,109,0.012085437774658203
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,106,0.012384653091430664
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,121,0.011586189270019531
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,125,0.008407831192016602
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,116,0.008092641830444336
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,120,0.015491485595703125
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,69,0.011862039566040039
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,87,0.015669584274291992
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,105,0.01204228401184082
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,94,0.00819849967956543
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,99,0.01195216178894043
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,94,0.015681743621826172
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,94,0.011922836303710938
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,97,0.012001514434814453
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,89,0.011763811111450195
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,109,0.012438297271728516
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,153,0.013041019439697266
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,94,0.01572442054748535
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,121,0.019223451614379883
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,88,0.012189388275146484
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,107,0.015724897384643555
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,112,0.008150339126586914
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,109,0.011891365051269531
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,80,0.011947154998779297
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,125,0.015967130661010742
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,99,0.01182246208190918
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,135,0.008002281188964844
46,random graphs/matuszewski/5_by_n/n10/graph46.lgbin,115,0.008279561996459961
47,random graphs/matuszewski/5_by_n/n10/graph47.lgbin,115,0.012372493743896484
48,random graphs/matuszewski/5_by_n/n10/graph48.lgbin,82,0.023055553436279297
49,random graphs/matuszewski/5_by_n/n10/graph49.lgbin,138,0.012140274047851562
50,random graphs/matuszewski/5_by_n/n10/graph50.lgbin,113,0.015573263168334961
51,random graphs/matuszewski/5_by_n/n10/graph51.lgbin,102,0.01179814338684082
52,random graphs/matuszewski/5_by_n/n10/graph52.lgbin,113,0.012047767639160156
53,random graphs/matuszewski/5_by_n/n10/graph53.lgbin,112,0.012065649032592773
54,random graphs/matuszewski/5_by_n/n10/graph54.lgbin,111,0.0159299373626709
55,random graphs/matuszewski/5_by_n/n10/graph55.lgbin,131,0.008176326751708984
56,random graphs/matuszewski/5_by_n/n10/graph56.lgbin,110,0.011876821517944336
57,random graphs/matuszewski/5_by_n/n10/graph57.lgbin,140,0.012091875076293945
58,random graphs/matuszewski/5_by_n/n10/graph58.lgbin,123,0.008197307586669922
59,random graphs/matuszewski/5_by_n/n10/graph59.lgbin,90,0.01569533348083496
60,random graphs/matuszewski/5_by_n/n10/graph60.lgbin,124,0.011798858642578125
61,random graphs/matuszewski/5_by_n/n10/graph61.lgbin,93,0.011893033981323242
62,random graphs/matuszewski/5_by_n/n10/graph62.lgbin,87,0.0117034912109375
63,random graphs/matuszewski/5_by_n/n10/graph63.lgbin,88,0.011879920959472656
64,random graphs/matuszewski/5_by_n/n10/graph64.lgbin,106,0.012057781219482422
65,random graphs/matuszewski/5_by_n/n10/graph65.lgbin,93,0.0117950439453125
66,random graphs/matuszewski/5_by_n/n10/graph66.lgbin,102,0.008049964904785156
67,random graphs/matuszewski/5_by_n/n10/graph67.lgbin,115,0.008252620697021484
68,random graphs/matuszewski/5_by_n/n10/graph68.lgbin,94,0.011802196502685547
69,random graphs/matuszewski/5_by_n/n10/graph69.lgbin,117,0.01219320297241211
70,random graphs/matuszewski/5_by_n/n10/graph70.lgbin,114,0.008417606353759766
71,random graphs/matuszewski/5_by_n/n10/graph71.lgbin,100,0.01191091537475586
72,random graphs/matuszewski/5_by_n/n10/graph72.lgbin,107,0.015453338623046875
73,random graphs/matuszewski/5_by_n/n10/graph73.lgbin,97,0.012018680572509766
74,random graphs/matuszewski/5_by_n/n10/graph74.lgbin,100,0.012018203735351562
75,random graphs/matuszewski/5_by_n/n10/graph75.lgbin,112,0.012245416641235352
76,random graphs/matuszewski/5_by_n/n10/graph76.lgbin,125,0.01613473892211914
77,random graphs/matuszewski/5_by_n/n10/graph77.lgbin,127,0.008346319198608398
78,random graphs/matuszewski/5_by_n/n10/graph78.lgbin,73,0.015471696853637695
79,random graphs/matuszewski/5_by_n/n10/graph79.lgbin,109,0.012020587921142578
80,random graphs/matuszewski/5_by_n/n10/graph80.lgbin,128,0.012158393859863281
81,random graphs/matuszewski/5_by_n/n10/graph81.lgbin,140,0.008136987686157227
82,random graphs/matuszewski/5_by_n/n10/graph82.lgbin,101,0.01196432113647461
83,random graphs/matuszewski/5_by_n/n10/graph83.lgbin,119,0.011958599090576172
84,random graphs/matuszewski/5_by_n/n10/graph84.lgbin,130,0.015446662902832031
85,random graphs/matuszewski/5_by_n/n10/graph85.lgbin,132,0.016077280044555664
86,random graphs/matuszewski/5_by_n/n10/graph86.lgbin,108,0.011772394180297852
87,random graphs/matuszewski/5_by_n/n10/graph87.lgbin,88,0.019109487533569336
88,random graphs/matuszewski/5_by_n/n10/graph88.lgbin,102,0.011827707290649414
89,random graphs/matuszewski/5_by_n/n10/graph89.lgbin,105,0.008095264434814453
90,random graphs/matuszewski/5_by_n/n10/graph90.lgbin,93,0.008280515670776367
91,random graphs/matuszewski/5_by_n/n10/graph91.lgbin,122,0.008025407791137695
92,random graphs/matuszewski/5_by_n/n10/graph92.lgbin,96,0.011903047561645508
93,random graphs/matuszewski/5_by_n/n10/graph93.lgbin,112,0.008115053176879883
94,random graphs/matuszewski/5_by_n/n10/graph94.lgbin,113,0.011844635009765625
95,random graphs/matuszewski/5_by_n/n10/graph95.lgbin,97,0.008007049560546875
96,random graphs/matuszewski/5_by_n/n10/graph96.lgbin,117,0.019362449645996094
97,random graphs/matuszewski/5_by_n/n10/graph97.lgbin,132,0.008642435073852539
98,random graphs/matuszewski/5_by_n/n10/graph98.lgbin,94,0.015473604202270508
99,random graphs/matuszewski/5_by_n/n10/graph99.lgbin,115,0.01996326446533203
100,random graphs/matuszewski/5_by_n/n20/graph0.lgbin,604,0.11407637596130371
101,random graphs/matuszewski/5_by_n/n20/graph1.lgbin,475,0.08138036727905273
102,random graphs/matuszewski/5_by_n/n20/graph2.lgbin,455,0.04980206489562988
103,random graphs/matuszewski/5_by_n/n20/graph3.lgbin,485,0.08123970031738281
104,random graphs/matuszewski/5_by_n/n20/graph4.lgbin,452,0.049363136291503906
105,random graphs/matuszewski/5_by_n/n20/graph5.lgbin,427,0.0646519660949707
106,random graphs/matuszewski/5_by_n/n20/graph6.lgbin,447,0.08028364181518555
107,random graphs/matuszewski/5_by_n/n20/graph7.lgbin,437,0.04958486557006836
108,random graphs/matuszewski/5_by_n/n20/graph8.lgbin,398,0.09586071968078613
