Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,7,0.0038161277770996094
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,16,0.0037462711334228516
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,16,0.0025551319122314453
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,29,0.0013742446899414062
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,14,0.002569437026977539
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,12,0.0014383792877197266
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,20,0.0025908946990966797
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,18,0.0038433074951171875
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,9,0.0027093887329101562
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,21,0.0026383399963378906
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,12,0.002706766128540039
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,7,0.0038063526153564453
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,12,0.0013637542724609375
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,11,0.0037539005279541016
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,6,0.003828287124633789
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,24,0.0027196407318115234
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,11,0.0014615058898925781
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,21,0.0014140605926513672
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,7,0.003774881362915039
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,9,0.0025272369384765625
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,9,0.0025873184204101562
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,7,0.0025475025177001953
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,10,0.0049321651458740234
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,13,0.0027031898498535156
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,7,0.0037674903869628906
