Index,File,Crossings,Runtime
0,random graphs/matuszewski/10_by_10_density/d15/graph0.lgbin,96,0.05900287628173828
1,random graphs/matuszewski/10_by_10_density/d15/graph1.lgbin,83,0.06452536582946777
2,random graphs/matuszewski/10_by_10_density/d15/graph2.lgbin,95,0.058095693588256836
3,random graphs/matuszewski/10_by_10_density/d15/graph3.lgbin,111,0.05826067924499512
4,random graphs/matuszewski/10_by_10_density/d15/graph4.lgbin,93,0.05853748321533203
5,random graphs/matuszewski/10_by_10_density/d15/graph5.lgbin,109,0.057799577713012695
6,random graphs/matuszewski/10_by_10_density/d15/graph6.lgbin,112,0.0579681396484375
7,random graphs/matuszewski/10_by_10_density/d15/graph7.lgbin,113,0.05855607986450195
8,random graphs/matuszewski/10_by_10_density/d15/graph8.lgbin,98,0.057787179946899414
9,random graphs/matuszewski/10_by_10_density/d15/graph9.lgbin,102,0.05858778953552246
10,random graphs/matuszewski/10_by_10_density/d15/graph10.lgbin,76,0.05844831466674805
11,random graphs/matuszewski/10_by_10_density/d15/graph11.lgbin,104,0.05782508850097656
12,random graphs/matuszewski/10_by_10_density/d15/graph12.lgbin,104,0.05676889419555664
13,random graphs/matuszewski/10_by_10_density/d15/graph13.lgbin,132,0.05654573440551758
14,random graphs/matuszewski/10_by_10_density/d15/graph14.lgbin,98,0.056498050689697266
15,random graphs/matuszewski/10_by_10_density/d15/graph15.lgbin,120,0.05646920204162598
16,random graphs/matuszewski/10_by_10_density/d15/graph16.lgbin,103,0.05642247200012207
17,random graphs/matuszewski/10_by_10_density/d15/graph17.lgbin,98,0.05673360824584961
18,random graphs/matuszewski/10_by_10_density/d15/graph18.lgbin,103,0.05659604072570801
19,random graphs/matuszewski/10_by_10_density/d15/graph19.lgbin,115,0.05671191215515137
20,random graphs/matuszewski/10_by_10_density/d15/graph20.lgbin,109,0.05603599548339844
21,random graphs/matuszewski/10_by_10_density/d15/graph21.lgbin,112,0.05632281303405762
22,random graphs/matuszewski/10_by_10_density/d15/graph22.lgbin,100,0.056005239486694336
23,random graphs/matuszewski/10_by_10_density/d15/graph23.lgbin,138,0.05629682540893555
24,random graphs/matuszewski/10_by_10_density/d15/graph24.lgbin,121,0.05621504783630371
25,random graphs/matuszewski/10_by_10_density/d15/graph25.lgbin,106,0.0559999942779541
26,random graphs/matuszewski/10_by_10_density/d15/graph26.lgbin,106,0.05704236030578613
27,random graphs/matuszewski/10_by_10_density/d15/graph27.lgbin,97,0.0637352466583252
28,random graphs/matuszewski/10_by_10_density/d15/graph28.lgbin,119,0.056060075759887695
29,random graphs/matuszewski/10_by_10_density/d15/graph29.lgbin,115,0.05620837211608887
30,random graphs/matuszewski/10_by_10_density/d15/graph30.lgbin,80,0.05657219886779785
31,random graphs/matuszewski/10_by_10_density/d15/graph31.lgbin,72,0.05703592300415039
32,random graphs/matuszewski/10_by_10_density/d15/graph32.lgbin,100,0.056244611740112305
33,random graphs/matuszewski/10_by_10_density/d15/graph33.lgbin,117,0.05826163291931152
34,random graphs/matuszewski/10_by_10_density/d15/graph34.lgbin,106,0.05783367156982422
35,random graphs/matuszewski/10_by_10_density/d15/graph35.lgbin,108,0.05805516242980957
36,random graphs/matuszewski/10_by_10_density/d15/graph36.lgbin,72,0.058413028717041016
37,random graphs/matuszewski/10_by_10_density/d15/graph37.lgbin,82,0.058026790618896484
38,random graphs/matuszewski/10_by_10_density/d15/graph38.lgbin,120,0.05634903907775879
39,random graphs/matuszewski/10_by_10_density/d15/graph39.lgbin,101,0.0567929744720459
40,random graphs/matuszewski/10_by_10_density/d15/graph40.lgbin,101,0.05606698989868164
41,random graphs/matuszewski/10_by_10_density/d15/graph41.lgbin,107,0.05624985694885254
