Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,123,0.034562110900878906
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,130,0.03463149070739746
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,130,0.035875558853149414
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,125,0.03543663024902344
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,154,0.03639411926269531
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,94,0.03455805778503418
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,140,0.03493499755859375
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,115,0.035446882247924805
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,122,0.0350344181060791
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,119,0.03466486930847168
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,107,0.03492450714111328
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,135,0.03483104705810547
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,129,0.034423828125
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,123,0.03639864921569824
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,131,0.036276817321777344
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,132,0.03432416915893555
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,136,0.03655362129211426
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,140,0.03359842300415039
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,103,0.035712242126464844
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,126,0.035570621490478516
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,125,0.03766131401062012
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,86,0.03392839431762695
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,133,0.03665947914123535
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,105,0.03476595878601074
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,103,0.03417158126831055
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,133,0.034578561782836914
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,136,0.034436941146850586
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,111,0.035515785217285156
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,130,0.03515911102294922
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,140,0.03448939323425293
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,124,0.03442549705505371
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,98,0.03470182418823242
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,94,0.03434300422668457
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,112,0.0343780517578125
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,122,0.041996002197265625
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,176,0.03952789306640625
36,random graphs/matuszewski/5_by_n/n10/graph36.lgbin,122,0.03577089309692383
37,random graphs/matuszewski/5_by_n/n10/graph37.lgbin,130,0.034888267517089844
38,random graphs/matuszewski/5_by_n/n10/graph38.lgbin,103,0.035928964614868164
39,random graphs/matuszewski/5_by_n/n10/graph39.lgbin,128,0.03516650199890137
40,random graphs/matuszewski/5_by_n/n10/graph40.lgbin,116,0.03476691246032715
41,random graphs/matuszewski/5_by_n/n10/graph41.lgbin,122,0.03509116172790527
42,random graphs/matuszewski/5_by_n/n10/graph42.lgbin,98,0.03510880470275879
43,random graphs/matuszewski/5_by_n/n10/graph43.lgbin,130,0.0358281135559082
44,random graphs/matuszewski/5_by_n/n10/graph44.lgbin,147,0.03438234329223633
45,random graphs/matuszewski/5_by_n/n10/graph45.lgbin,85,0.03440570831298828
