Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,34,0.007806539535522461
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,32,0.007921457290649414
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,28,0.008002996444702148
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,12,0.008135318756103516
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,17,0.007969856262207031
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,27,0.007938623428344727
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,31,0.008162736892700195
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,27,0.008036136627197266
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,26,0.008087158203125
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,19,0.008110761642456055
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,19,0.008143186569213867
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,24,0.00803685188293457
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,18,0.00800633430480957
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,25,0.008045196533203125
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,13,0.007986068725585938
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,16,0.00806570053100586
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,26,0.007891178131103516
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,24,0.008058547973632812
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,20,0.007853269577026367
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,6,0.007949352264404297
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,11,0.007895469665527344
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,14,0.008116006851196289
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,11,0.007996797561645508
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,17,0.008082389831542969
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,28,0.008182525634765625
25,random graphs/matuszewski/k_by_10/k2/graph25.lgbin,25,0.007822036743164062
26,random graphs/matuszewski/k_by_10/k2/graph26.lgbin,17,0.008091211318969727
27,random graphs/matuszewski/k_by_10/k2/graph27.lgbin,29,0.007933378219604492
28,random graphs/matuszewski/k_by_10/k2/graph28.lgbin,12,0.008096694946289062
29,random graphs/matuszewski/k_by_10/k2/graph29.lgbin,13,0.008019208908081055
30,random graphs/matuszewski/k_by_10/k2/graph30.lgbin,18,0.008135795593261719
31,random graphs/matuszewski/k_by_10/k2/graph31.lgbin,21,0.008503437042236328
32,random graphs/matuszewski/k_by_10/k2/graph32.lgbin,25,0.008514165878295898
33,random graphs/matuszewski/k_by_10/k2/graph33.lgbin,19,0.008476018905639648
34,random graphs/matuszewski/k_by_10/k2/graph34.lgbin,30,0.008553266525268555
35,random graphs/matuszewski/k_by_10/k2/graph35.lgbin,10,0.008580684661865234
36,random graphs/matuszewski/k_by_10/k2/graph36.lgbin,13,0.00843048095703125
37,random graphs/matuszewski/k_by_10/k2/graph37.lgbin,9,0.008697748184204102
38,random graphs/matuszewski/k_by_10/k2/graph38.lgbin,21,0.008392333984375
39,random graphs/matuszewski/k_by_10/k2/graph39.lgbin,22,0.008724451065063477
40,random graphs/matuszewski/k_by_10/k2/graph40.lgbin,27,0.008467435836791992
41,random graphs/matuszewski/k_by_10/k2/graph41.lgbin,20,0.008609533309936523
42,random graphs/matuszewski/k_by_10/k2/graph42.lgbin,34,0.008367300033569336
43,random graphs/matuszewski/k_by_10/k2/graph43.lgbin,36,0.008184194564819336
44,random graphs/matuszewski/k_by_10/k2/graph44.lgbin,24,0.008563518524169922
45,random graphs/matuszewski/k_by_10/k2/graph45.lgbin,16,0.008404731750488281
46,random graphs/matuszewski/k_by_10/k2/graph46.lgbin,30,0.008880615234375
47,random graphs/matuszewski/k_by_10/k2/graph47.lgbin,16,0.008404016494750977
48,random graphs/matuszewski/k_by_10/k2/graph48.lgbin,20,0.008543729782104492
49,random graphs/matuszewski/k_by_10/k2/graph49.lgbin,17,0.008253097534179688
50,random graphs/matuszewski/k_by_10/k2/graph50.lgbin,21,0.008578062057495117
51,random graphs/matuszewski/k_by_10/k2/graph51.lgbin,17,0.008697509765625
52,random graphs/matuszewski/k_by_10/k2/graph52.lgbin,10,0.008211135864257812
53,random graphs/matuszewski/k_by_10/k2/graph53.lgbin,37,0.008477926254272461
54,random graphs/matuszewski/k_by_10/k2/graph54.lgbin,22,0.008265972137451172
55,random graphs/matuszewski/k_by_10/k2/graph55.lgbin,27,0.008574485778808594
56,random graphs/matuszewski/k_by_10/k2/graph56.lgbin,14,0.008384466171264648
57,random graphs/matuszewski/k_by_10/k2/graph57.lgbin,12,0.008568763732910156
58,random graphs/matuszewski/k_by_10/k2/graph58.lgbin,21,0.008369207382202148
59,random graphs/matuszewski/k_by_10/k2/graph59.lgbin,17,0.008530855178833008
60,random graphs/matuszewski/k_by_10/k2/graph60.lgbin,19,0.008484363555908203
61,random graphs/matuszewski/k_by_10/k2/graph61.lgbin,23,0.008457183837890625
62,random graphs/matuszewski/k_by_10/k2/graph62.lgbin,23,0.008522987365722656
63,random graphs/matuszewski/k_by_10/k2/graph63.lgbin,22,0.008361577987670898
64,random graphs/matuszewski/k_by_10/k2/graph64.lgbin,20,0.008386850357055664
65,random graphs/matuszewski/k_by_10/k2/graph65.lgbin,20,0.008268356323242188
66,random graphs/matuszewski/k_by_10/k2/graph66.lgbin,19,0.008576631546020508
67,random graphs/matuszewski/k_by_10/k2/graph67.lgbin,28,0.008558034896850586
68,random graphs/matuszewski/k_by_10/k2/graph68.lgbin,28,0.008399009704589844
69,random graphs/matuszewski/k_by_10/k2/graph69.lgbin,31,0.008550405502319336
70,random graphs/matuszewski/k_by_10/k2/graph70.lgbin,21,0.008366107940673828
71,random graphs/matuszewski/k_by_10/k2/graph71.lgbin,12,0.008565664291381836
72,random graphs/matuszewski/k_by_10/k2/graph72.lgbin,13,0.008463621139526367
73,random graphs/matuszewski/k_by_10/k2/graph73.lgbin,18,0.008634328842163086
74,random graphs/matuszewski/k_by_10/k2/graph74.lgbin,17,0.008461236953735352
75,random graphs/matuszewski/k_by_10/k2/graph75.lgbin,22,0.008610248565673828
76,random graphs/matuszewski/k_by_10/k2/graph76.lgbin,18,0.00841379165649414
77,random graphs/matuszewski/k_by_10/k2/graph77.lgbin,24,0.008476972579956055
78,random graphs/matuszewski/k_by_10/k2/graph78.lgbin,14,0.008350849151611328
79,random graphs/matuszewski/k_by_10/k2/graph79.lgbin,19,0.008470773696899414
80,random graphs/matuszewski/k_by_10/k2/graph80.lgbin,17,0.008517742156982422
81,random graphs/matuszewski/k_by_10/k2/graph81.lgbin,16,0.00833272933959961
82,random graphs/matuszewski/k_by_10/k2/graph82.lgbin,14,0.008584260940551758
83,random graphs/matuszewski/k_by_10/k2/graph83.lgbin,12,0.00829172134399414
84,random graphs/matuszewski/k_by_10/k2/graph84.lgbin,22,0.008690834045410156
85,random graphs/matuszewski/k_by_10/k2/graph85.lgbin,19,0.008432388305664062
86,random graphs/matuszewski/k_by_10/k2/graph86.lgbin,35,0.008513450622558594
87,random graphs/matuszewski/k_by_10/k2/graph87.lgbin,18,0.008644580841064453
88,random graphs/matuszewski/k_by_10/k2/graph88.lgbin,24,0.008376121520996094
89,random graphs/matuszewski/k_by_10/k2/graph89.lgbin,20,0.00855875015258789
90,random graphs/matuszewski/k_by_10/k2/graph90.lgbin,6,0.008330821990966797
91,random graphs/matuszewski/k_by_10/k2/graph91.lgbin,24,0.008411169052124023
92,random graphs/matuszewski/k_by_10/k2/graph92.lgbin,9,0.008244514465332031
93,random graphs/matuszewski/k_by_10/k2/graph93.lgbin,28,0.008620738983154297
94,random graphs/matuszewski/k_by_10/k2/graph94.lgbin,24,0.008407115936279297
95,random graphs/matuszewski/k_by_10/k2/graph95.lgbin,23,0.012616157531738281
96,random graphs/matuszewski/k_by_10/k2/graph96.lgbin,12,0.008487462997436523
97,random graphs/matuszewski/k_by_10/k2/graph97.lgbin,26,0.008279800415039062
98,random graphs/matuszewski/k_by_10/k2/graph98.lgbin,18,0.008528947830200195
99,random graphs/matuszewski/k_by_10/k2/graph99.lgbin,16,0.008451461791992188
100,random graphs/matuszewski/k_by_10/k3/graph0.lgbin,39,0.016758203506469727
101,random graphs/matuszewski/k_by_10/k3/graph1.lgbin,43,0.016421794891357422
102,random graphs/matuszewski/k_by_10/k3/graph2.lgbin,74,0.01786065101623535
103,random graphs/matuszewski/k_by_10/k3/graph3.lgbin,82,0.017047643661499023
104,random graphs/matuszewski/k_by_10/k3/graph4.lgbin,45,0.016592025756835938
105,random graphs/matuszewski/k_by_10/k3/graph5.lgbin,58,0.016452312469482422
106,random graphs/matuszewski/k_by_10/k3/graph6.lgbin,56,0.01668858528137207
107,random graphs/matuszewski/k_by_10/k3/graph7.lgbin,44,0.017153024673461914
108,random graphs/matuszewski/k_by_10/k3/graph8.lgbin,70,0.01651740074157715
109,random graphs/matuszewski/k_by_10/k3/graph9.lgbin,40,0.017033100128173828
110,random graphs/matuszewski/k_by_10/k3/graph10.lgbin,59,0.016904115676879883
111,random graphs/matuszewski/k_by_10/k3/graph11.lgbin,33,0.016846656799316406
112,random graphs/matuszewski/k_by_10/k3/graph12.lgbin,52,0.016806602478027344
113,random graphs/matuszewski/k_by_10/k3/graph13.lgbin,46,0.01668834686279297
114,random graphs/matuszewski/k_by_10/k3/graph14.lgbin,56,0.016825437545776367
115,random graphs/matuszewski/k_by_10/k3/graph15.lgbin,46,0.016675472259521484
116,random graphs/matuszewski/k_by_10/k3/graph16.lgbin,45,0.017264842987060547
117,random graphs/matuszewski/k_by_10/k3/graph17.lgbin,38,0.016730546951293945
118,random graphs/matuszewski/k_by_10/k3/graph18.lgbin,45,0.016698360443115234
119,random graphs/matuszewski/k_by_10/k3/graph19.lgbin,45,0.016158580780029297
120,random graphs/matuszewski/k_by_10/k3/graph20.lgbin,39,0.017006397247314453
121,random graphs/matuszewski/k_by_10/k3/graph21.lgbin,59,0.016583919525146484
122,random graphs/matuszewski/k_by_10/k3/graph22.lgbin,40,0.01699542999267578
123,random graphs/matuszewski/k_by_10/k3/graph23.lgbin,54,0.016766071319580078
124,random graphs/matuszewski/k_by_10/k3/graph24.lgbin,56,0.017281055450439453
125,random graphs/matuszewski/k_by_10/k3/graph25.lgbin,61,0.016636133193969727
126,random graphs/matuszewski/k_by_10/k3/graph26.lgbin,82,0.017760515213012695
127,random graphs/matuszewski/k_by_10/k3/graph27.lgbin,53,0.016529083251953125
128,random graphs/matuszewski/k_by_10/k3/graph28.lgbin,28,0.01664566993713379
129,random graphs/matuszewski/k_by_10/k3/graph29.lgbin,39,0.017153263092041016
130,random graphs/matuszewski/k_by_10/k3/graph30.lgbin,49,0.016698360443115234
131,random graphs/matuszewski/k_by_10/k3/graph31.lgbin,48,0.016690731048583984
132,random graphs/matuszewski/k_by_10/k3/graph32.lgbin,40,0.016602277755737305
133,random graphs/matuszewski/k_by_10/k3/graph33.lgbin,54,0.016612529754638672
134,random graphs/matuszewski/k_by_10/k3/graph34.lgbin,62,0.016326427459716797
135,random graphs/matuszewski/k_by_10/k3/graph35.lgbin,62,0.01675701141357422
136,random graphs/matuszewski/k_by_10/k3/graph36.lgbin,44,0.016284465789794922
137,random graphs/matuszewski/k_by_10/k3/graph37.lgbin,50,0.016655683517456055
138,random graphs/matuszewski/k_by_10/k3/graph38.lgbin,48,0.016438722610473633
139,random graphs/matuszewski/k_by_10/k3/graph39.lgbin,63,0.017211437225341797
140,random graphs/matuszewski/k_by_10/k3/graph40.lgbin,53,0.01646590232849121
141,random graphs/matuszewski/k_by_10/k3/graph41.lgbin,44,0.016375064849853516
142,random graphs/matuszewski/k_by_10/k3/graph42.lgbin,54,0.01712656021118164
143,random graphs/matuszewski/k_by_10/k3/graph43.lgbin,49,0.016284704208374023
144,random graphs/matuszewski/k_by_10/k3/graph44.lgbin,45,0.016670703887939453
145,random graphs/matuszewski/k_by_10/k3/graph45.lgbin,41,0.01658344268798828
146,random graphs/matuszewski/k_by_10/k3/graph46.lgbin,51,0.01669931411743164
147,random graphs/matuszewski/k_by_10/k3/graph47.lgbin,58,0.016672611236572266
148,random graphs/matuszewski/k_by_10/k3/graph48.lgbin,45,0.016892671585083008
149,random graphs/matuszewski/k_by_10/k3/graph49.lgbin,69,0.016952037811279297
150,random graphs/matuszewski/k_by_10/k3/graph50.lgbin,52,0.016594648361206055
151,random graphs/matuszewski/k_by_10/k3/graph51.lgbin,48,0.01636505126953125
152,random graphs/matuszewski/k_by_10/k3/graph52.lgbin,66,0.01641535758972168
153,random graphs/matuszewski/k_by_10/k3/graph53.lgbin,25,0.01682758331298828
154,random graphs/matuszewski/k_by_10/k3/graph54.lgbin,44,0.016535520553588867
155,random graphs/matuszewski/k_by_10/k3/graph55.lgbin,52,0.016689300537109375
156,random graphs/matuszewski/k_by_10/k3/graph56.lgbin,61,0.016349077224731445
157,random graphs/matuszewski/k_by_10/k3/graph57.lgbin,43,0.016640186309814453
158,random graphs/matuszewski/k_by_10/k3/graph58.lgbin,49,0.016799449920654297
159,random graphs/matuszewski/k_by_10/k3/graph59.lgbin,58,0.016788959503173828
160,random graphs/matuszewski/k_by_10/k3/graph60.lgbin,42,0.01659107208251953
161,random graphs/matuszewski/k_by_10/k3/graph61.lgbin,43,0.01673293113708496
162,random graphs/matuszewski/k_by_10/k3/graph62.lgbin,65,0.016320228576660156
163,random graphs/matuszewski/k_by_10/k3/graph63.lgbin,36,0.016724586486816406
164,random graphs/matuszewski/k_by_10/k3/graph64.lgbin,35,0.016551494598388672
165,random graphs/matuszewski/k_by_10/k3/graph65.lgbin,42,0.016606569290161133
166,random graphs/matuszewski/k_by_10/k3/graph66.lgbin,26,0.016884565353393555
167,random graphs/matuszewski/k_by_10/k3/graph67.lgbin,52,0.01668262481689453
168,random graphs/matuszewski/k_by_10/k3/graph68.lgbin,64,0.0168154239654541
169,random graphs/matuszewski/k_by_10/k3/graph69.lgbin,45,0.016645431518554688
170,random graphs/matuszewski/k_by_10/k3/graph70.lgbin,61,0.016708850860595703
171,random graphs/matuszewski/k_by_10/k3/graph71.lgbin,44,0.016343116760253906
172,random graphs/matuszewski/k_by_10/k3/graph72.lgbin,43,0.01690959930419922
173,random graphs/matuszewski/k_by_10/k3/graph73.lgbin,36,0.016515731811523438
174,random graphs/matuszewski/k_by_10/k3/graph74.lgbin,36,0.0166780948638916
175,random graphs/matuszewski/k_by_10/k3/graph75.lgbin,43,0.01667189598083496
176,random graphs/matuszewski/k_by_10/k3/graph76.lgbin,40,0.016672611236572266
177,random graphs/matuszewski/k_by_10/k3/graph77.lgbin,32,0.016783714294433594
178,random graphs/matuszewski/k_by_10/k3/graph78.lgbin,44,0.01683831214904785
179,random graphs/matuszewski/k_by_10/k3/graph79.lgbin,50,0.01647210121154785
180,random graphs/matuszewski/k_by_10/k3/graph80.lgbin,47,0.0164947509765625
181,random graphs/matuszewski/k_by_10/k3/graph81.lgbin,38,0.017067432403564453
182,random graphs/matuszewski/k_by_10/k3/graph82.lgbin,53,0.017082691192626953
183,random graphs/matuszewski/k_by_10/k3/graph83.lgbin,44,0.016607999801635742
184,random graphs/matuszewski/k_by_10/k3/graph84.lgbin,60,0.016724348068237305
185,random graphs/matuszewski/k_by_10/k3/graph85.lgbin,55,0.016724348068237305
186,random graphs/matuszewski/k_by_10/k3/graph86.lgbin,62,0.016531705856323242
187,random graphs/matuszewski/k_by_10/k3/graph87.lgbin,57,0.016729354858398438
188,random graphs/matuszewski/k_by_10/k3/graph88.lgbin,59,0.017052888870239258
189,random graphs/matuszewski/k_by_10/k3/graph89.lgbin,45,0.016514062881469727
190,random graphs/matuszewski/k_by_10/k3/graph90.lgbin,47,0.016820669174194336
191,random graphs/matuszewski/k_by_10/k3/graph91.lgbin,48,0.016628742218017578
192,random graphs/matuszewski/k_by_10/k3/graph92.lgbin,35,0.016814708709716797
193,random graphs/matuszewski/k_by_10/k3/graph93.lgbin,51,0.016625404357910156
194,random graphs/matuszewski/k_by_10/k3/graph94.lgbin,26,0.0167391300201416
195,random graphs/matuszewski/k_by_10/k3/graph95.lgbin,52,0.016792774200439453
196,random graphs/matuszewski/k_by_10/k3/graph96.lgbin,43,0.01721477508544922
197,random graphs/matuszewski/k_by_10/k3/graph97.lgbin,35,0.01667499542236328
198,random graphs/matuszewski/k_by_10/k3/graph98.lgbin,56,0.016930341720581055
199,random graphs/matuszewski/k_by_10/k3/graph99.lgbin,45,0.016382217407226562
200,random graphs/matuszewski/k_by_10/k4/graph0.lgbin,89,0.02494335174560547
201,random graphs/matuszewski/k_by_10/k4/graph1.lgbin,63,0.026900529861450195
202,random graphs/matuszewski/k_by_10/k4/graph2.lgbin,87,0.02494192123413086
203,random graphs/matuszewski/k_by_10/k4/graph3.lgbin,60,0.02478194236755371
204,random graphs/matuszewski/k_by_10/k4/graph4.lgbin,80,0.024530887603759766
205,random graphs/matuszewski/k_by_10/k4/graph5.lgbin,83,0.025368452072143555
206,random graphs/matuszewski/k_by_10/k4/graph6.lgbin,88,0.024849891662597656
207,random graphs/matuszewski/k_by_10/k4/graph7.lgbin,97,0.025745630264282227
208,random graphs/matuszewski/k_by_10/k4/graph8.lgbin,77,0.025662899017333984
209,random graphs/matuszewski/k_by_10/k4/graph9.lgbin,117,0.02693462371826172
210,random graphs/matuszewski/k_by_10/k4/graph10.lgbin,89,0.025318622589111328
211,random graphs/matuszewski/k_by_10/k4/graph11.lgbin,78,0.025763988494873047
212,random graphs/matuszewski/k_by_10/k4/graph12.lgbin,100,0.027335166931152344
213,random graphs/matuszewski/k_by_10/k4/graph13.lgbin,84,0.025672435760498047
214,random graphs/matuszewski/k_by_10/k4/graph14.lgbin,100,0.026583433151245117
215,random graphs/matuszewski/k_by_10/k4/graph15.lgbin,72,0.024987220764160156
216,random graphs/matuszewski/k_by_10/k4/graph16.lgbin,73,0.024976491928100586
217,random graphs/matuszewski/k_by_10/k4/graph17.lgbin,86,0.025989532470703125
218,random graphs/matuszewski/k_by_10/k4/graph18.lgbin,60,0.024865388870239258
219,random graphs/matuszewski/k_by_10/k4/graph19.lgbin,79,0.0246884822845459
220,random graphs/matuszewski/k_by_10/k4/graph20.lgbin,112,0.027313709259033203
221,random graphs/matuszewski/k_by_10/k4/graph21.lgbin,73,0.024934053421020508
222,random graphs/matuszewski/k_by_10/k4/graph22.lgbin,93,0.025331974029541016
223,random graphs/matuszewski/k_by_10/k4/graph23.lgbin,107,0.02566671371459961
224,random graphs/matuszewski/k_by_10/k4/graph24.lgbin,96,0.025908470153808594
225,random graphs/matuszewski/k_by_10/k4/graph25.lgbin,85,0.027867794036865234
226,random graphs/matuszewski/k_by_10/k4/graph26.lgbin,73,0.024753093719482422
227,random graphs/matuszewski/k_by_10/k4/graph27.lgbin,67,0.025214433670043945
228,random graphs/matuszewski/k_by_10/k4/graph28.lgbin,67,0.02523207664489746
229,random graphs/matuszewski/k_by_10/k4/graph29.lgbin,59,0.024739503860473633
230,random graphs/matuszewski/k_by_10/k4/graph30.lgbin,59,0.025720834732055664
231,random graphs/matuszewski/k_by_10/k4/graph31.lgbin,98,0.025965213775634766
232,random graphs/matuszewski/k_by_10/k4/graph32.lgbin,60,0.02572917938232422
233,random graphs/matuszewski/k_by_10/k4/graph33.lgbin,84,0.02597188949584961
234,random graphs/matuszewski/k_by_10/k4/graph34.lgbin,65,0.024888038635253906
235,random graphs/matuszewski/k_by_10/k4/graph35.lgbin,76,0.02550506591796875
236,random graphs/matuszewski/k_by_10/k4/graph36.lgbin,74,0.024750471115112305
237,random graphs/matuszewski/k_by_10/k4/graph37.lgbin,93,0.02460503578186035
238,random graphs/matuszewski/k_by_10/k4/graph38.lgbin,86,0.025661945343017578
