Index,File,Crossings,Runtime
0,random graphs/matuszewski/5_by_n/n10/graph0.lgbin,138,0.01923656463623047
1,random graphs/matuszewski/5_by_n/n10/graph1.lgbin,121,0.01933598518371582
2,random graphs/matuszewski/5_by_n/n10/graph2.lgbin,120,0.02047276496887207
3,random graphs/matuszewski/5_by_n/n10/graph3.lgbin,116,0.020354032516479492
4,random graphs/matuszewski/5_by_n/n10/graph4.lgbin,172,0.020985841751098633
5,random graphs/matuszewski/5_by_n/n10/graph5.lgbin,137,0.01976299285888672
6,random graphs/matuszewski/5_by_n/n10/graph6.lgbin,150,0.019722461700439453
7,random graphs/matuszewski/5_by_n/n10/graph7.lgbin,168,0.019999265670776367
8,random graphs/matuszewski/5_by_n/n10/graph8.lgbin,179,0.01937246322631836
9,random graphs/matuszewski/5_by_n/n10/graph9.lgbin,126,0.019493818283081055
10,random graphs/matuszewski/5_by_n/n10/graph10.lgbin,179,0.019441604614257812
11,random graphs/matuszewski/5_by_n/n10/graph11.lgbin,145,0.020487546920776367
12,random graphs/matuszewski/5_by_n/n10/graph12.lgbin,136,0.01962900161743164
13,random graphs/matuszewski/5_by_n/n10/graph13.lgbin,125,0.021201610565185547
14,random graphs/matuszewski/5_by_n/n10/graph14.lgbin,141,0.021815776824951172
15,random graphs/matuszewski/5_by_n/n10/graph15.lgbin,143,0.01948833465576172
16,random graphs/matuszewski/5_by_n/n10/graph16.lgbin,191,0.02104973793029785
17,random graphs/matuszewski/5_by_n/n10/graph17.lgbin,196,0.019008398056030273
18,random graphs/matuszewski/5_by_n/n10/graph18.lgbin,162,0.02049732208251953
19,random graphs/matuszewski/5_by_n/n10/graph19.lgbin,123,0.020125389099121094
20,random graphs/matuszewski/5_by_n/n10/graph20.lgbin,152,0.02147817611694336
21,random graphs/matuszewski/5_by_n/n10/graph21.lgbin,139,0.01868295669555664
22,random graphs/matuszewski/5_by_n/n10/graph22.lgbin,142,0.02119612693786621
23,random graphs/matuszewski/5_by_n/n10/graph23.lgbin,129,0.02013087272644043
24,random graphs/matuszewski/5_by_n/n10/graph24.lgbin,140,0.02000117301940918
25,random graphs/matuszewski/5_by_n/n10/graph25.lgbin,103,0.019835948944091797
26,random graphs/matuszewski/5_by_n/n10/graph26.lgbin,117,0.01947331428527832
27,random graphs/matuszewski/5_by_n/n10/graph27.lgbin,160,0.02068948745727539
28,random graphs/matuszewski/5_by_n/n10/graph28.lgbin,118,0.019817113876342773
29,random graphs/matuszewski/5_by_n/n10/graph29.lgbin,152,0.020115375518798828
30,random graphs/matuszewski/5_by_n/n10/graph30.lgbin,140,0.01962590217590332
31,random graphs/matuszewski/5_by_n/n10/graph31.lgbin,109,0.01990485191345215
32,random graphs/matuszewski/5_by_n/n10/graph32.lgbin,161,0.019837379455566406
33,random graphs/matuszewski/5_by_n/n10/graph33.lgbin,163,0.01955127716064453
34,random graphs/matuszewski/5_by_n/n10/graph34.lgbin,140,0.02136993408203125
35,random graphs/matuszewski/5_by_n/n10/graph35.lgbin,166,0.024525165557861328
