Index,File,Crossings,Runtime
0,random graphs/matuszewski/k_by_10/k2/graph0.lgbin,38,0.0042324066162109375
1,random graphs/matuszewski/k_by_10/k2/graph1.lgbin,12,0.0043337345123291016
2,random graphs/matuszewski/k_by_10/k2/graph2.lgbin,27,0.004475116729736328
3,random graphs/matuszewski/k_by_10/k2/graph3.lgbin,9,0.004430055618286133
4,random graphs/matuszewski/k_by_10/k2/graph4.lgbin,28,0.004276752471923828
5,random graphs/matuszewski/k_by_10/k2/graph5.lgbin,11,0.00422215461730957
6,random graphs/matuszewski/k_by_10/k2/graph6.lgbin,28,0.004307985305786133
7,random graphs/matuszewski/k_by_10/k2/graph7.lgbin,28,0.004435300827026367
8,random graphs/matuszewski/k_by_10/k2/graph8.lgbin,27,0.004282951354980469
9,random graphs/matuszewski/k_by_10/k2/graph9.lgbin,35,0.0044023990631103516
10,random graphs/matuszewski/k_by_10/k2/graph10.lgbin,24,0.0042874813079833984
11,random graphs/matuszewski/k_by_10/k2/graph11.lgbin,28,0.0045032501220703125
12,random graphs/matuszewski/k_by_10/k2/graph12.lgbin,26,0.004216432571411133
13,random graphs/matuszewski/k_by_10/k2/graph13.lgbin,8,0.004294872283935547
14,random graphs/matuszewski/k_by_10/k2/graph14.lgbin,13,0.004285335540771484
15,random graphs/matuszewski/k_by_10/k2/graph15.lgbin,17,0.004312753677368164
16,random graphs/matuszewski/k_by_10/k2/graph16.lgbin,17,0.0044214725494384766
17,random graphs/matuszewski/k_by_10/k2/graph17.lgbin,23,0.004334449768066406
18,random graphs/matuszewski/k_by_10/k2/graph18.lgbin,15,0.0044307708740234375
19,random graphs/matuszewski/k_by_10/k2/graph19.lgbin,20,0.004225492477416992
20,random graphs/matuszewski/k_by_10/k2/graph20.lgbin,12,0.004441499710083008
21,random graphs/matuszewski/k_by_10/k2/graph21.lgbin,9,0.004320859909057617
22,random graphs/matuszewski/k_by_10/k2/graph22.lgbin,28,0.004386186599731445
23,random graphs/matuszewski/k_by_10/k2/graph23.lgbin,19,0.004425764083862305
24,random graphs/matuszewski/k_by_10/k2/graph24.lgbin,6,0.004456996917724609
25,random graphs/matuszewski/k_by_10/k2/graph25.lgbin,26,0.0042874813079833984
26,random graphs/matuszewski/k_by_10/k2/graph26.lgbin,16,0.004391670227050781
27,random graphs/matuszewski/k_by_10/k2/graph27.lgbin,26,0.004221439361572266
28,random graphs/matuszewski/k_by_10/k2/graph28.lgbin,13,0.0041980743408203125
29,random graphs/matuszewski/k_by_10/k2/graph29.lgbin,15,0.004229545593261719
30,random graphs/matuszewski/k_by_10/k2/graph30.lgbin,17,0.004274845123291016
31,random graphs/matuszewski/k_by_10/k2/graph31.lgbin,21,0.00436854362487793
32,random graphs/matuszewski/k_by_10/k2/graph32.lgbin,41,0.004224300384521484
33,random graphs/matuszewski/k_by_10/k2/graph33.lgbin,21,0.004321575164794922
34,random graphs/matuszewski/k_by_10/k2/graph34.lgbin,36,0.004282236099243164
35,random graphs/matuszewski/k_by_10/k2/graph35.lgbin,12,0.004302263259887695
36,random graphs/matuszewski/k_by_10/k2/graph36.lgbin,20,0.004301309585571289
37,random graphs/matuszewski/k_by_10/k2/graph37.lgbin,25,0.004357814788818359
38,random graphs/matuszewski/k_by_10/k2/graph38.lgbin,29,0.0042917728424072266
39,random graphs/matuszewski/k_by_10/k2/graph39.lgbin,15,0.004292011260986328
40,random graphs/matuszewski/k_by_10/k2/graph40.lgbin,17,0.0042629241943359375
41,random graphs/matuszewski/k_by_10/k2/graph41.lgbin,23,0.004231929779052734
42,random graphs/matuszewski/k_by_10/k2/graph42.lgbin,32,0.004241466522216797
43,random graphs/matuszewski/k_by_10/k2/graph43.lgbin,10,0.0042955875396728516
44,random graphs/matuszewski/k_by_10/k2/graph44.lgbin,35,0.004343271255493164
45,random graphs/matuszewski/k_by_10/k2/graph45.lgbin,50,0.00421905517578125
46,random graphs/matuszewski/k_by_10/k2/graph46.lgbin,34,0.004380941390991211
47,random graphs/matuszewski/k_by_10/k2/graph47.lgbin,22,0.004331111907958984
48,random graphs/matuszewski/k_by_10/k2/graph48.lgbin,20,0.004317283630371094
49,random graphs/matuszewski/k_by_10/k2/graph49.lgbin,45,0.004102230072021484
50,random graphs/matuszewski/k_by_10/k2/graph50.lgbin,20,0.004356861114501953
51,random graphs/matuszewski/k_by_10/k2/graph51.lgbin,32,0.004153251647949219
52,random graphs/matuszewski/k_by_10/k2/graph52.lgbin,24,0.004301309585571289
53,random graphs/matuszewski/k_by_10/k2/graph53.lgbin,33,0.004244327545166016
54,random graphs/matuszewski/k_by_10/k2/graph54.lgbin,25,0.00421595573425293
55,random graphs/matuszewski/k_by_10/k2/graph55.lgbin,26,0.004332780838012695
56,random graphs/matuszewski/k_by_10/k2/graph56.lgbin,13,0.004293680191040039
57,random graphs/matuszewski/k_by_10/k2/graph57.lgbin,15,0.004403352737426758
58,random graphs/matuszewski/k_by_10/k2/graph58.lgbin,23,0.004286289215087891
59,random graphs/matuszewski/k_by_10/k2/graph59.lgbin,16,0.00433659553527832
60,random graphs/matuszewski/k_by_10/k2/graph60.lgbin,21,0.0043566226959228516
61,random graphs/matuszewski/k_by_10/k2/graph61.lgbin,20,0.004355430603027344
62,random graphs/matuszewski/k_by_10/k2/graph62.lgbin,13,0.004389286041259766
63,random graphs/matuszewski/k_by_10/k2/graph63.lgbin,22,0.004263162612915039
64,random graphs/matuszewski/k_by_10/k2/graph64.lgbin,22,0.004348278045654297
65,random graphs/matuszewski/k_by_10/k2/graph65.lgbin,20,0.004384517669677734
66,random graphs/matuszewski/k_by_10/k2/graph66.lgbin,24,0.004302263259887695
67,random graphs/matuszewski/k_by_10/k2/graph67.lgbin,20,0.004380941390991211
68,random graphs/matuszewski/k_by_10/k2/graph68.lgbin,29,0.004314899444580078
69,random graphs/matuszewski/k_by_10/k2/graph69.lgbin,41,0.004418849945068359
70,random graphs/matuszewski/k_by_10/k2/graph70.lgbin,18,0.004266977310180664
71,random graphs/matuszewski/k_by_10/k2/graph71.lgbin,9,0.004394054412841797
72,random graphs/matuszewski/k_by_10/k2/graph72.lgbin,15,0.004374027252197266
73,random graphs/matuszewski/k_by_10/k2/graph73.lgbin,35,0.004477739334106445
74,random graphs/matuszewski/k_by_10/k2/graph74.lgbin,40,0.0043370723724365234
75,random graphs/matuszewski/k_by_10/k2/graph75.lgbin,22,0.004320859909057617
76,random graphs/matuszewski/k_by_10/k2/graph76.lgbin,23,0.004304409027099609
77,random graphs/matuszewski/k_by_10/k2/graph77.lgbin,30,0.004192352294921875
78,random graphs/matuszewski/k_by_10/k2/graph78.lgbin,12,0.004138469696044922
79,random graphs/matuszewski/k_by_10/k2/graph79.lgbin,38,0.004255056381225586
80,random graphs/matuszewski/k_by_10/k2/graph80.lgbin,28,0.004332780838012695
81,random graphs/matuszewski/k_by_10/k2/graph81.lgbin,14,0.004273653030395508
82,random graphs/matuszewski/k_by_10/k2/graph82.lgbin,18,0.004309177398681641
83,random graphs/matuszewski/k_by_10/k2/graph83.lgbin,8,0.004250526428222656
84,random graphs/matuszewski/k_by_10/k2/graph84.lgbin,32,0.004278421401977539
85,random graphs/matuszewski/k_by_10/k2/graph85.lgbin,29,0.004378795623779297
86,random graphs/matuszewski/k_by_10/k2/graph86.lgbin,29,0.0042324066162109375
87,random graphs/matuszewski/k_by_10/k2/graph87.lgbin,14,0.004389047622680664
88,random graphs/matuszewski/k_by_10/k2/graph88.lgbin,16,0.004414558410644531
89,random graphs/matuszewski/k_by_10/k2/graph89.lgbin,19,0.004310131072998047
90,random graphs/matuszewski/k_by_10/k2/graph90.lgbin,12,0.004275321960449219
91,random graphs/matuszewski/k_by_10/k2/graph91.lgbin,21,0.0042934417724609375
92,random graphs/matuszewski/k_by_10/k2/graph92.lgbin,15,0.004291534423828125
93,random graphs/matuszewski/k_by_10/k2/graph93.lgbin,18,0.004313468933105469
94,random graphs/matuszewski/k_by_10/k2/graph94.lgbin,23,0.0042345523834228516
95,random graphs/matuszewski/k_by_10/k2/graph95.lgbin,27,0.004227638244628906
96,random graphs/matuszewski/k_by_10/k2/graph96.lgbin,17,0.004328727722167969
97,random graphs/matuszewski/k_by_10/k2/graph97.lgbin,11,0.004250049591064453
98,random graphs/matuszewski/k_by_10/k2/graph98.lgbin,29,0.004243135452270508
